audio,vis_left,vis_right,corr_key,freq,1,0.95,0.9,0.8,0.7,,,,,,,
B,0,1,l,63,1,1,1,1,1,,,,,,,
A,0,1,a,63,1,1,1,1,1,,,,,,,
D,2,3,l,63,1,1,1,1,1,,,,,,,
B,2,1,l,9,1,1,1,1,1,,,,,,,
A,0,2,a,27,1,1,1,1,1,,,,,,,
C,2,3,a,63,1,1,1,1,0,,,,,,,
D,1,3,l,27,1,1,1,1,1,,,,,,,
A,1,0,l,63,1,1,1,0,0,,,,,,,
C,2,0,a,27,1,1,1,1,1,,,,,,,
D,2,3,l,63,1,1,1,1,1,,,,,,,
B,1,0,a,63,1,1,0,0,0,,,,,,,
A,0,1,a,63,1,1,1,1,1,,,,,,,
D,2,3,l,63,1,1,1,1,1,,,,,,,
C,2,0,a,27,1,1,1,0,0,,,,,,,
A,0,1,a,63,1,1,1,1,1,,,,,,,
B,1,3,a,27,1,1,1,1,1,,,,,,,
C,3,2,l,63,1,1,1,1,1,,,,,,,
D,2,3,l,63,1,0,0,0,0,,,,,,,
B,1,0,a,63,1,1,1,1,1,,,,,,,
A,2,0,l,27,1,1,1,1,0,,,,,,,
D,0,3,l,9,1,1,1,1,1,,,,,,,
C,2,3,a,63,1,1,1,1,1,,,,,,,
B,3,1,l,27,1,1,1,1,0,,,,,,,
C,3,2,l,63,1,1,1,1,1,,,,,,,
D,2,3,l,63,1,1,1,1,1,,,,,,,
B,1,0,a,63,1,1,1,1,1,,,,,,,
A,0,3,a,9,1,1,1,1,1,,,,,,,
D,2,3,l,63,1,1,1,0,0,,,,,,,
C,2,0,a,27,1,1,1,1,1,,,,,,,
A,1,0,l,63,1,1,0,0,0,,,,,,,
B,1,0,a,63,1,1,1,1,1,,,,,,,
D,3,1,a,27,1,1,1,1,1,,,,,,,
C,3,2,l,63,1,1,1,1,1,,,,,,,
B,1,0,a,63,1,1,1,0,0,,,,,,,
A,0,1,a,63,1,1,1,1,1,,,,,,,
C,1,2,l,9,1,1,1,1,1,,,,,,,
A,1,0,l,63,1,1,1,1,1,,,,,,,
D,3,1,a,27,1,1,1,1,0,,,,,,,
B,0,1,l,63,1,1,1,1,1,,,,,,,
C,2,3,a,63,1,0,0,0,0,,,,,,,
A,2,0,l,27,1,1,1,1,1,,,,,,,
D,3,2,a,63,1,1,1,1,1,,,,,,,
B,3,1,l,27,1,1,1,1,1,,,,,,,
C,2,3,a,63,1,1,1,1,1,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
