ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,simpleSurprise
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,1,1,2,aud,0.5,1,z,B,1B,1,b,1.62636199999906,0,0,0,2.19722457733622
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,2,2,0,aud,0.5,1,z,C,2C,1,z,3.41123359999983,1,1,1,2.30258509299405
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,3,0,2,aud,0.36,1,z,B,0B,0,b,1.3816928999986,0,1,1,2.39789527279837
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,4,1,0,aud,0.36,1,z,C,1C,0,b,3.115331099998,0,1,1,2.484906649788
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,5,0,1,aud,0.5,1,z,A,0A,1,z,1.44219719999819,1,1,1,2.56494935746154
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,6,2,2,aud,0.14,1,z,B,2B,0,b,2.08839469999657,0,1,1,2.63905732961526
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,7,0,0,aud,0.14,1,z,C,0C,0,z,3.0409176999965,1,0,0,2.70805020110221
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,8,1,2,aud,0.5,1,z,B,1B,1,z,1.79142089999732,1,1,1,2.07944154167984
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,9,2,1,aud,0.36,1,z,A,2A,0,z,2.41403779999746,1,0,0,2.83321334405622
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,10,0,2,aud,0.36,1,z,B,0B,0,z,2.32324919999883,1,0,0,2.19722457733622
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,11,2,1,aud,0.36,1,z,A,2A,0,z,2.48583919999874,1,0,0,2.2512917986065
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,12,1,2,aud,0.5,0,z,B,1B,1,z,3.43809099999635,1,1,0,1.89711998488588
