trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.35264300000017,None,t,51.44735949999995,28.35264300000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
,,,,,,,,,,None,79.83221769999909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
0,0,0,0,,,,,,,,,,2,0,0,36,1,3.22645636662535,1.85507739556255,None,80.032811699999,None,81.86498974999922,81.86498974999922,None,[],['z'],[0.4362904999998136],83.86344090000057,None,z,2.4362904999998136,1,1,1.0,87.10635609999918,None,None,87.10635609999918,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
1,0,1,0,,,,,,,,,,1,2,1,50,1,2.070770331037005,0.760509851028298,None,88.91584440000042,None,89.66476744999927,89.66476744999927,None,[],['b'],[0.3779415000008157],91.65954579999925,None,b,2.3779415000008157,1,1,1.0,93.74465559999953,None,None,93.74465559999953,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
2,0,2,0,,,,,,,,,,2,0,0,36,1,2.038421555814887,2.55132244875705,None,95.54898189999949,None,98.08253135000014,98.08253135000014,None,[],['z'],[0.4393359000005148],100.08245239999997,None,z,2.439335900000515,1,1,1.0,102.14509670000007,None,None,102.14509670000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
3,0,3,0,,,,,,,,,,0,2,0,36,1,2.661399651610695,3.44771472893932,None,103.94938700000057,None,107.38227965000006,107.38227965000006,None,[],['b'],[0.44120900000052643],109.38675850000072,None,b,2.4412090000005264,0,0,0.75,112.05894859999898,None,None,112.05894859999898,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
4,0,4,0,,,,,,,,,,2,1,1,50,1,2.096051788593735,2.18142366553255,None,113.86602599999969,None,116.03270464999987,116.03270464999987,None,[],['b'],[0.44012629999997444],118.03239109999959,None,b,2.4401262999999744,1,1,0.8,120.14419260000068,None,None,120.14419260000068,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
5,0,5,0,,,,,,,,,,1,0,0,14,1,3.78496720151373,1.52074017648695,None,121.94940339999994,None,123.44905394999951,123.44905394999951,None,[],['z'],[0.8327155000006314],125.44920599999932,None,z,2.8327155000006314,1,1,0.8333333333333334,129.26089130000037,None,None,129.26089130000037,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
6,0,6,0,,,,,,,,,,0,1,0,14,1,3.0109893695593497,1.90695111352951,None,131.0660874999994,None,132.94939554999945,132.94939554999945,b,['b'],None,,134.95459149999988,None,b,1.6335627000007662,0,0,0.7142857142857143,137.97727099999975,None,None,137.97727099999975,None,1.6335627000007662,[1.6335627000007662],,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
7,0,7,0,,,,,,,,,,1,2,1,50,1,4.18755802100366,2.79689535976632,['z'],139.7827111000006,None,142.56592675000064,142.56592675000064,None,[],None,,144.57185109999955,None,None,[],0,3,0.625,148.77542119999998,None,None,148.77542119999998,None,,,[2.1633165999992343],,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
8,0,8,0,,,,,,,,,,2,1,1,50,1,2.93061443445534,1.09364692357212,None,150.58259670000007,None,151.64922224999935,151.64922224999935,z,['z'],None,,153.64733700000033,None,z,1.2163125000006403,0,0,0.5555555555555556,156.59054800000013,None,None,156.59054800000013,None,1.2163125000006403,[1.2163125000006403],,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
9,0,9,0,,,,,,,,,,0,2,0,36,1,4.89745263827305,2.19546497995913,None,158.39898429999994,None,160.58265565000073,160.58265565000073,None,[],['b'],[0.751280599999518],162.58692770000016,None,b,2.751280599999518,0,0,0.5,167.51184269999976,None,None,167.51184269999976,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
10,0,10,0,,,,,,,,,,1,1,0,36,1,3.3535975560099702,1.92795341140246,None,169.31485330000032,None,171.21576985000064,171.21576985000064,None,[],['z'],[0.5680690999997751],173.22090620000017,None,z,2.568069099999775,1,1,0.5454545454545454,176.59505809999973,None,None,176.59505809999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
11,0,11,0,,,,,,,,,,0,0,1,50,1,3.00565230777806,1.93473628110684,None,178.39922099999967,None,180.3164599500007,180.3164599500007,None,[],['b'],[0.41449090000060096],182.32074169999942,None,b,2.414490900000601,1,1,0.5833333333333334,185.34439070000008,None,None,185.34439070000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
12,0,12,0,,,,,,,,,,0,0,1,50,1,2.269747919971076,2.93253104700369,['z'],187.14849219999996,None,190.0496764499996,190.0496764499996,z,['z'],None,,192.0484937000001,None,z,1.8926614000010886,0,0,0.5384615384615384,194.34234359999937,None,None,194.34234359999937,None,1.8926614000010886,[1.8926614000010886],[1.5651006000007328],,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
