trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,40.65978240000004,None,t,51.56378079999922,40.65978240000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
,,,,,,,,,,None,92.25369829999909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
0,0,0,0,,,,,,,,,,0,2,1,50,1,3.00565230777806,0.859460502749755,None,92.45333419999952,None,93.28701309000026,93.28701309000026,None,[],['z'],[0.6940703999989637],95.2881866000007,None,z,2.6940703999989637,1,1,1.0,98.3399989999998,None,None,98.3399989999998,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
1,0,1,0,,,,,,,,,,2,1,1,50,1,2.269747919971076,3.25187717164471,None,100.12058059999981,None,103.35372539000055,103.35372539000055,None,[],['z'],[1.329900100001396],105.35477100000026,None,z,3.329900100001396,1,1,1.0,107.64765099999931,None,None,107.64765099999931,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
2,0,2,0,,,,,,,,,,0,0,0,36,1,2.396355568442425,1.14006717102905,None,109.45375869999953,None,110.57036178999915,110.57036178999915,None,[],['b'],[0.32383279999885417],112.57053989999986,None,b,2.323832799998854,1,1,1.0,114.9798140999992,None,None,114.9798140999992,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
3,0,3,0,,,,,,,,,,1,1,0,36,1,3.00616914487701,2.18142366553255,None,116.7869326,None,118.95348298999961,118.95348298999961,None,[],['z'],[1.2432803000010608],120.95729530000062,None,z,3.243280300001061,0,0,0.75,123.97800889999962,None,None,123.97800889999962,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
4,0,4,0,,,,,,,,,,2,0,0,14,1,3.8873543302872697,1.49618260131236,None,125.78709669999989,None,127.27025848999911,127.27025848999911,None,[],['b'],[1.0375760999995691],129.27084250000007,None,b,3.037576099999569,1,1,0.8,133.1800414999998,None,None,133.1800414999998,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
5,0,5,0,,,,,,,,,,0,2,1,50,1,2.8965037234387068,2.96697800987238,None,134.9867766999996,None,137.93707398999976,137.93707398999976,None,[],['z'],[2.67008419999911],139.93812249999974,None,z,4.67008419999911,1,1,0.8333333333333334,142.84287349999977,None,None,142.84287349999977,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
6,0,6,0,,,,,,,,,,1,0,1,50,1,3.19303509672656,2.99272735241982,None,144.65375420000055,None,147.62041428999981,147.62041428999981,None,[],['b'],[2.0902124000003823],149.62079679999988,None,b,4.090212400000382,0,0,0.7142857142857143,152.82867430000078,None,None,152.82867430000078,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
7,0,7,0,,,,,,,,,,1,0,1,50,1,2.664345149861413,2.55132244875705,None,154.63688940000065,None,157.1703138900004,157.1703138900004,None,[],['z'],[0.26083769999968354],159.1703108999991,None,z,2.2608376999996835,1,1,0.75,161.84719349999978,None,None,161.84719349999978,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
