trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,35.24766670000008,None,t,65.65656939999917,35.24766670000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
,,,,,,,,,,None,100.9314118000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
0,0,0,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,3.8484563543876202,2.2926827756088,None,101.13139430000047,None,103.39774854000034,103.39774854000034,None,[],['b'],[0.960460499999499],105.40226050000001,None,b,2.960460499999499,1,1,1.0,109.30107399999997,None,None,109.30107399999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
1,0,1,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,2.070770331037005,0.760509851028298,None,111.08143160000054,None,111.83120984000043,111.83120984000043,None,[],None,,113.83581140000024,None,None,[],0,3,0.5,115.95425990000058,None,['b'],115.95425990000058,None,[0.8256644999992204],,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
2,0,2,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,2.755584162388418,2.46643561303325,None,117.73041830000057,None,120.18154324000015,120.18154324000015,None,[],['z'],[0.32953339999949094],122.18468329999996,None,z,2.329533399999491,0,0,0.3333333333333333,124.95860020000055,None,None,124.95860020000055,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
3,0,3,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,4.08205346963855,1.49618260131236,None,126.76462970000011,None,128.24704804000004,128.24704804000004,None,[],['b'],[0.41865079999934096],130.24245080000037,None,b,2.418650799999341,1,1,0.5,134.34323120000045,None,None,134.34323120000045,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
4,0,4,0,,,,,,,,,,2.0,0,1.0,50.0,1.0,2.096051788593735,1.931001549337,None,136.14809140000034,None,138.06475494000034,138.06475494000034,None,[],['z'],[1.6354935999997906],140.06786610000017,None,z,3.6354935999997906,1,1,0.6,142.17696740000065,None,None,142.17696740000065,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
5,0,5,0,,,,,,,,,,1.0,2,0.0,14.0,1.0,4.057112590273469,1.49331160364633,None,143.98152500000015,None,145.4478531400003,145.4478531400003,None,[],['b'],[0.7969819999998435],147.4526120999999,None,b,2.7969819999998435,1,1,0.6666666666666666,151.5255471999999,None,None,151.5255471999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
6,0,6,0,,,,,,,,,,0.0,0,0.0,14.0,1.0,4.638307379983409,2.93253104700369,None,153.3312794000003,None,156.24771103999984,156.24771103999984,None,[],['z'],[1.9799500999988595],158.24319550000018,None,z,3.9799500999988595,0,0,0.5714285714285714,162.89227759999994,None,None,162.89227759999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
7,0,7,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,4.79396941305267,1.14006717102905,None,164.69807860000037,None,165.81486354000054,165.81486354000054,None,[],['z'],[0.8621919999995953],167.81877840000016,None,z,2.8621919999995953,1,1,0.625,172.62669050000022,None,None,172.62669050000022,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
