trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,18.29124589999992,None,t,81.58677540000008,18.29124589999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
,,,,,,,,,,None,99.9068485000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
0,0,0,0,,,,,,,,,,2,2,1,50,1,3.0109893695593497,2.46643561303325,None,100.11177170000065,None,102.85079480000059,None,102.8572024000001,None,None,102.85079480000059,None,['b'],[0.46943780000037805],104.59060910000062,None,b,2.469437800000378,0,0,0.0,107.66020690000005,None,None,107.66020690000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
1,0,1,0,,,,,,,,,,1,0,1,50,1,4.79396941305267,2.93253104700369,None,109.42386299999998,None,112.46726029999991,None,112.47385429999967,None,None,112.46726029999991,None,['b'],[0.11453039999923931],114.35699449999993,None,b,2.1145303999992393,0,0,0.0,119.16352189999998,None,None,119.16352189999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
2,0,2,0,,,,,,,,,,2,1,0,36,1,2.664345149861413,1.52074017648695,None,120.97270620000018,None,122.56674870000006,None,122.57411940000011,None,None,122.56674870000006,None,None,,124.49058229999991,None,[],[],0,3,0.0,127.18277480000052,None,['z'],127.18277480000052,None,[0.6775023999998666],,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
3,0,3,0,,,,,,,,,,0,0,0,36,1,2.661399651610695,2.68012679460483,None,128.97370000000046,None,131.7326468000001,None,131.74006309999993,None,['z'],131.7326468000001,None,None,,133.6557055000003,None,z,1.8026812999996764,0,0,0.0,136.3224651999999,None,None,136.3224651999999,None,,[1.8026812999996764],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
4,0,4,0,,,,,,,,,,2,2,1,50,1,3.75606544973216,0.823898895776125,None,138.1237787,None,138.97168260000035,None,138.97294130000026,None,None,138.97168260000035,None,['z'],[0.3100116999994498],140.92355250000037,None,z,2.3100116999994498,1,1,0.2,144.72734720000062,None,None,144.72734720000062,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
5,0,5,0,,,,,,,,,,1,1,0,14,1,2.0935163976022517,0.872854310065634,None,146.50597389999984,None,147.43180070000017,None,147.44070290000053,None,None,147.43180070000017,None,['z'],[0.3901821999997992],149.37384240000029,None,z,2.390182199999799,0,0,0.16666666666666666,151.4725922000007,None,None,151.4725922000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
6,0,6,0,,,,,,,,,,0,2,0,14,1,3.9110799880328697,3.093067417437,None,153.27389279999989,None,156.41344780000054,None,156.42394650000023,None,['b'],156.41344780000054,None,None,,158.3569305000001,None,b,1.3544209000001501,1,1,0.2857142857142857,162.2818339000005,None,None,162.2818339000005,None,,[1.3544209000001501],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
7,0,7,0,,,,,,,,,,1,0,1,50,1,2.533372966674614,1.49618260131236,None,164.0904672000006,None,165.6293340000002,None,165.6408457999998,None,['z'],165.6293340000002,None,None,,167.5741080000007,None,z,1.4187372999995205,1,1,0.375,170.11560559999998,None,None,170.11560559999998,None,,[1.4187372999995205],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
