trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,113.87933290000001,None,t,84.02226209999981,113.87933290000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
,,,,,,,,,,None,197.9331199000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
0,0,0,0,,,,,,,,,,1,0,0,36,1,3.0109893695593497,2.46643561303325,None,198.15012780000006,None,200.89714390000017,None,200.89927488000038,None,None,200.89714390000017,None,['z'],[0.9182756000000154],202.63294110000015,None,z,2.9182756000000154,1,1,1.0,205.69276260000015,None,None,205.69276260000015,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
1,0,1,0,,,,,,,,,,0,2,1,50,1,2.038421555814887,1.23760834810881,None,207.46601660000033,None,208.80276860000004,None,208.7994189800004,None,None,208.80276860000004,None,['z'],[1.2602232999997796],210.69963380000036,None,z,3.2602232999997796,0,0,0.5,212.77403950000007,None,None,212.77403950000007,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
2,0,2,0,,,,,,,,,,2,0,1,50,1,2.661399651610695,2.32696722275902,None,214.56626469999992,None,216.96115950000012,None,216.9663664700003,None,None,216.96115950000012,None,['b'],[0.5027460999999676],218.8832440000001,None,b,2.5027460999999676,1,1,0.6666666666666666,221.55505930000027,None,None,221.55505930000027,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
3,0,3,0,,,,,,,,,,0,2,1,50,1,4.79595120749692,0.864984636888209,None,223.3661790000001,None,224.28615870000021,None,224.28234535000047,None,None,224.28615870000021,None,['b'],[0.5916817000002084],226.23307740000018,None,b,2.5916817000002084,1,1,0.75,231.03977239999995,None,None,231.03977239999995,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
4,0,4,0,,,,,,,,,,2,1,0,14,1,4.89745263827305,0.767372347918183,None,232.84986640000034,None,233.69107789999998,None,233.70008587000046,None,None,233.69107789999998,None,['z'],[0.5108869999999115],235.6160914000002,None,z,2.5108869999999115,1,1,0.8,240.52387,None,None,240.52387,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
5,0,5,0,,,,,,,,,,0,2,1,50,1,4.3560033776911595,0.760509851028298,None,242.3322701000002,None,243.13703880000003,None,243.14978666000033,None,None,243.13703880000003,None,['b'],[0.691991500000313],245.08305130000008,None,b,2.691991500000313,1,1,0.8333333333333334,249.45734600000014,None,None,249.45734600000014,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
6,0,6,0,,,,,,,,,,1,0,0,36,1,3.35750049552731,2.55132244875705,None,251.26635510000006,None,253.87381800000003,None,253.88330716000027,None,None,253.87381800000003,None,['z'],[0.584350699999959],255.8164154000001,None,z,2.584350699999959,1,1,0.8571428571428571,259.1917330000001,None,None,259.1917330000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
7,0,7,0,,,,,,,,,,2,2,0,36,1,2.435645686656409,0.823898895776125,None,260.9999280000002,None,261.87498110000024,None,261.88324386000033,None,None,261.87498110000024,None,['z'],[0.8012806000001547],263.8163969000002,None,z,2.8012806000001547,1,1,0.875,266.2744695000001,None,None,266.2744695000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
8,0,8,0,,,,,,,,,,1,1,1,50,1,2.533372966674614,2.2926827756088,None,268.0832306000002,None,270.42231100000026,None,270.43290756000044,None,None,270.42231100000026,None,['b'],[0.9255997999998726],272.36642729999994,None,b,2.9255997999998726,1,1,0.8888888888888888,274.90711839999994,None,None,274.90711839999994,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
9,0,9,0,,,,,,,,,,2,2,0,36,1,4.79396941305267,1.90695111352951,None,276.71633900000006,None,278.67221100000006,None,278.68344646000025,None,None,278.67221100000006,None,['b'],[1.8553506999996898],280.6163796000001,None,b,3.85535069999969,0,0,0.8,285.4217404000001,None,None,285.4217404000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
10,0,10,0,,,,,,,,,,1,1,1,50,1,3.9110799880328697,3.44771472893932,None,287.2330224000002,None,290.7391831,None,290.7496736600002,None,None,290.7391831,None,['b'],[0.8637121000001571],292.68302280000034,None,b,2.863712100000157,1,1,0.8181818181818182,296.60908629999994,None,None,296.60908629999994,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
11,0,11,0,,,,,,,,,,2,0,1,50,0,3.19303509672656,0.886051557539332,None,298.4163864000002,None,299.3563001000002,None,299.3663471600004,None,None,299.3563001000002,None,['b'],[1.064481099999739],301.29973199999995,None,b,3.064481099999739,1,0,0.8333333333333334,304.50607020000007,None,None,304.50607020000007,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
12,0,12,0,,,,,,,,,,0,1,0,36,1,2.93061443445534,2.71666458349534,None,306.31628070000033,None,309.0882962999999,None,309.0999060600003,None,None,309.0882962999999,None,['z'],[0.48968180000019856],311.0333221000001,None,z,2.4896818000001986,1,1,0.8461538461538461,313.97511190000023,None,None,313.97511190000023,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
13,0,13,0,,,,,,,,,,1,2,0,14,1,3.00565230777806,1.09364692357212,None,315.78329269999995,None,316.92422380000016,None,316.93321586000013,None,None,316.92422380000016,None,['z'],[0.9555395999996108],318.86650409999993,None,z,2.955539599999611,1,1,0.8571428571428571,321.89183870000033,None,None,321.89183870000033,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
14,0,14,0,,,,,,,,,,2,0,1,50,1,3.0795770157756097,2.96697800987238,None,323.69981880000023,None,326.72577850000016,None,326.7330561600003,None,None,326.72577850000016,None,['z'],[1.458221400000184],328.66639940000005,None,z,3.458221400000184,0,0,0.8,331.7574789,None,None,331.7574789,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
15,0,15,0,,,,,,,,,,1,1,1,50,1,3.75606544973216,2.24098228083631,None,333.56676510000034,None,335.8623184000003,None,335.86670946000015,None,None,335.8623184000003,None,['b'],[1.4472406999998384],337.7999027000001,None,b,3.4472406999998384,1,1,0.8125,341.57455470000014,None,None,341.57455470000014,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
16,0,16,0,,,,,,,,,,2,0,1,50,1,3.22645636662535,0.859460502749755,None,343.3839809000001,None,344.28684250000015,None,344.28303135000033,None,None,344.28684250000015,None,['z'],[0.43555130000004283],346.2333437000002,None,z,2.435551300000043,0,0,0.7647058823529411,349.4736481,None,None,349.4736481,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
