trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,252.36675670000113,None,t,74.51911000000109,252.36675670000113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
,,,,,,,,,,None,326.9158271999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
0,0,0,0,,,,,,,,,,1,1,0,36,1,2.664345149861413,1.14006717102905,None,327.1154644999988,None,328.23229959000093,328.23229959000093,None,[],['b'],[0.6333009000009042],330.2366422999985,None,b,2.633300900000904,0,0,0.0,332.95155470000464,None,None,332.95155470000464,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
1,0,1,0,,,,,,,,,,0,2,1,50,1,2.435645686656409,1.52074017648695,None,334.7316142999989,None,336.23229429000423,336.23229429000423,None,[],['b'],[0.9461830000000191],338.2363264000014,None,b,2.946183000000019,1,1,0.5,340.6951251999999,None,None,340.6951251999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
2,0,2,0,,,,,,,,,,2,1,1,50,1,2.070770331037005,1.931001549337,None,342.49929550000525,None,344.41544089000456,344.41544089000456,None,[],['z'],[0.7779292999985046],346.41301309999835,None,z,2.7779292999985046,0,0,0.3333333333333333,348.5093218000038,None,None,348.5093218000038,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
3,0,3,0,,,,,,,,,,2,1,1,50,1,4.638307379983409,1.23760834810881,None,350.31520620000083,None,351.5312926899984,351.5312926899984,None,[],"['b', 'z']","[0.9383248000012827, 1.646774100001494]",353.5273608999996,None,b,2.9383248000012827,1,1,0.5,358.1704996000044,None,None,358.1704996000044,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
4,0,4,0,,,,,,,,,,1,0,1,50,1,4.85706913915242,2.19546497995913,None,359.9824807000041,None,362.14909558999864,362.14909558999864,b,['b'],None,,364.1489853000021,None,b,1.206777499995951,1,1,0.6,369.02892460000294,None,None,369.02892460000294,None,1.206777499995951,[1.206777499995951],,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
5,0,5,0,,,,,,,,,,0,2,1,50,1,3.00616914487701,0.859460502749755,None,370.8323065000004,None,371.6656643900038,371.6656643900038,z,['z'],None,,373.6656310000035,None,z,1.8891184000021894,0,0,0.5,376.68733749999956,None,None,376.68733749999956,None,1.8891184000021894,[1.8891184000021894],,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
6,0,6,0,,,,,,,,,,2,0,0,14,1,2.038421555814887,0.823898895776125,None,378.49890289999894,None,379.2993072900041,379.2993072900041,None,[],['z'],[0.26405309999972815],381.3047807000039,None,z,2.264053099999728,1,1,0.5714285714285714,383.3601004000011,None,None,383.3601004000011,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
7,0,7,0,,,,,,,,,,0,2,1,50,1,3.3535975560099702,1.92795341140246,None,385.1659051000024,None,387.06529629000363,387.06529629000363,None,[],['b'],[0.4770407999967574],389.0605943000046,None,b,2.4770407999967574,1,1,0.625,392.4144501000046,None,None,392.4144501000046,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
