trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,21.056077900000673,None,t,62.43382649999876,21.056077900000673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
,,,,,,,,,,None,83.50702610000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
0,0,0,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,2.396355568442425,2.99272735241982,None,83.70727330000045,None,86.92263900000034,None,86.92365412000018,None,['z'],[1.2018586999993204],86.92263900000034,None,None,88.69048650000059,None,z,1.2018586999993204,1,1,1.0,91.11065090000011,None,None,91.11065090000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
1,0,1,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,4.89745263827305,3.25187717164471,None,92.9073785999999,None,96.3105540000006,None,96.32334384000006,None,['z'],[0.34920299999976123],96.3105540000006,None,['z'],98.1569913000003,None,z,0.34920299999976123,1,1,1.0,103.06435370000054,None,None,103.06435370000054,None,[0.055627199999435106],,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
2,0,2,0,,,,,,,,,,1.0,2,0.0,14.0,1.0,2.533372966674614,2.93253104700369,None,104.87395820000074,None,107.88341690000016,None,107.89060549000015,None,['z'],[0.6510353999992731],107.88341690000016,None,None,109.80746750000071,None,z,0.6510353999992731,1,1,1.0,112.3479883,None,None,112.3479883,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
3,0,3,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,2.070770331037005,3.19646747994707,None,114.15703740000026,None,117.43269950000013,None,117.44029409000024,None,['z'],[1.0586304999997083],117.43269950000013,None,None,119.35702970000057,None,z,1.0586304999997083,0,0,0.75,121.44787110000016,None,None,121.44787110000016,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
4,0,4,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,4.18755802100366,1.1680331695907,None,123.25703200000044,None,124.48350149999987,None,124.49037672000068,None,['z'],[0.7326370999990104],124.48350149999987,None,None,126.42387850000068,None,z,0.7326370999990104,0,0,0.6,130.63042290000067,None,None,130.63042290000067,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
5,0,5,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,4.79396941305267,0.864984636888209,None,132.44043740000052,None,133.3632000000007,None,133.3736328200006,None,['z'],[0.8103760999993028],133.3632000000007,None,None,135.30775390000053,None,z,0.8103760999993028,0,0,0.5,140.1139020999999,None,None,140.1139020999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
6,0,6,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,3.35750049552731,2.68012679460483,None,141.92414430000008,None,144.6634025000003,None,144.67388652000082,None,['z'],[0.9845840999996653],144.6634025000003,None,None,146.60722429999987,None,z,0.9845840999996653,0,0,0.42857142857142855,149.97989230000076,None,None,149.97989230000076,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
7,0,7,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,4.057112590273469,2.13476920223271,None,151.7908862000004,None,153.9815047000002,None,153.99080642000027,None,['b'],[0.6518115999988368],153.9815047000002,None,None,155.92408680000062,None,b,0.6518115999988368,0,0,0.375,159.99744080000073,None,None,159.99744080000073,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
8,0,8,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,3.3535975560099702,2.2926827756088,None,161.80743780000012,None,164.14488549999987,None,164.1573678200006,None,['z'],[0.6730517999994845],164.14488549999987,None,None,166.09099520000018,None,z,0.6730517999994845,0,0,0.3333333333333333,169.46391010000025,None,None,169.46391010000025,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
9,0,9,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,3.78496720151373,2.19546497995913,None,171.27385760000016,None,173.53245120000065,None,173.54051012000073,None,['z'],[1.4404174999999668],173.53245120000065,None,None,175.47395870000037,None,z,1.4404174999999668,0,0,0.3,179.28086170000006,None,None,179.28086170000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
10,0,10,0,,,,,,,,,,0.0,1,0.0,14.0,1.0,3.0795770157756097,1.93473628110684,None,181.09097700000075,None,183.08236790000046,None,183.09094222000058,None,['b'],[1.0445190000000366],183.08236790000046,None,None,185.02432800000042,None,b,1.0445190000000366,0,0,0.2727272727272727,188.11493470000005,None,None,188.11493470000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
11,0,11,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,3.8873543302872697,2.71666458349534,None,189.92428819999986,None,192.6954177000007,None,192.70724492000082,None,['z'],[0.5205179999993561],192.6954177000007,None,None,194.64081410000017,None,z,0.5205179999993561,0,0,0.25,198.5480645000007,None,None,198.5480645000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
12,0,12,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,2.93061443445534,1.23760834810881,None,200.35722680000072,None,201.64307989999998,None,201.64055335000057,None,['b'],[0.8763946999988548],201.64307989999998,None,None,203.59068780000052,None,b,0.8763946999988548,0,0,0.23076923076923078,206.53096450000066,None,None,206.53096450000066,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
13,0,13,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,3.8484563543876202,2.46471651569721,None,208.34136560000024,None,210.8619152000001,None,210.8739984200005,None,['z'],[0.687328099998922],210.8619152000001,None,None,212.80758160000005,None,z,0.687328099998922,1,1,0.2857142857142857,216.6654152000001,None,None,216.6654152000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
14,0,14,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,3.00565230777806,2.46643561303325,None,218.4741382000002,None,220.99650530000054,None,221.00760142000073,None,['b'],[1.127904099999796],220.99650530000054,None,None,222.94108030000007,None,b,1.127904099999796,0,0,0.26666666666666666,225.96332430000075,None,None,225.96332430000075,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
15,0,15,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,2.661399651610695,0.760509851028298,None,227.7742613999999,None,228.57853810000051,None,228.5905243200008,None,['z'],[1.050953899999513],228.57853810000051,None,None,230.52400340000077,None,z,1.050953899999513,0,0,0.25,233.1904966000002,None,None,233.1904966000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
16,0,16,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,4.3560033776911595,2.79689535976632,None,234.99099660000047,None,237.8465752000002,None,237.8573620200008,None,['b'],[1.7286678999998912],237.8465752000002,None,None,239.79099510000015,None,b,1.7286678999998912,0,0,0.23529411764705882,244.16187470000023,None,None,244.16187470000023,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
17,0,17,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,4.79595120749692,2.96697800987238,None,245.97462050000013,None,248.99910619999991,None,249.00769922000055,None,['z'],[0.65401219999967],248.99910619999991,None,None,250.94114850000005,None,z,0.65401219999967,0,0,0.2222222222222222,255.7481673000002,None,None,255.7481673000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
18,0,18,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,3.19303509672656,1.14006717102905,None,257.5575568000004,None,258.7460987000004,None,258.75750301999994,None,['b'],[0.49199269999917306],258.7460987000004,None,None,260.6908198000001,None,b,0.49199269999917306,1,1,0.2631578947368421,263.89916410000023,None,None,263.89916410000023,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
19,0,19,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,4.85706913915242,1.92795341140246,None,265.7076571000007,None,267.6814903000004,None,267.6908388200003,None,['z'],[0.8413905999996132],267.6814903000004,None,None,269.6241680000003,None,z,0.8413905999996132,0,0,0.25,274.4971095000001,None,None,274.4971095000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
20,0,20,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,4.75208449114276,2.24098228083631,None,276.30757690000064,None,278.5954074000001,None,278.6075555199999,None,['b'],[0.8029834999997547],278.5954074000001,None,None,280.5416670000004,None,b,0.8029834999997547,1,1,0.2857142857142857,285.31596739999986,None,None,285.31596739999986,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
21,0,21,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,4.08205346963855,1.09364692357212,['b'],287.1248037000005,None,288.25527800000054,None,288.25754045000076,None,None,,288.25527800000054,None,['b'],290.2076493000004,None,b,2.070757299999059,0,0,0.2727272727272727,294.2972137000006,None,None,294.2972137000006,None,[0.07075729999905889],[0.637869099999989],,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
22,0,22,0,,,,,,,,,,1.0,2,0.0,14.0,1.0,3.6791616380244196,1.931001549337,None,296.1081655000007,None,298.09542370000054,None,298.1079267200006,None,['z'],[1.7890241999994032],298.09542370000054,None,None,300.04145400000016,None,z,1.7890241999994032,1,1,0.30434782608695654,303.73321320000014,None,None,303.73321320000014,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
23,0,23,0,,,,,,,,,,2.0,0,0.0,14.0,1.0,2.260653249681576,1.85507739556255,None,305.54150149999987,None,307.4447688,None,307.4575943200001,None,['b'],[0.7602077999999892],307.4447688,None,None,309.39088790000005,None,b,0.7602077999999892,0,0,0.2916666666666667,311.6639711000007,None,None,311.6639711000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
24,0,24,0,,,,,,,,,,0.0,2,1.0,50.0,0.0,2.664345149861413,2.9722947448457,None,313.47442130000036,None,316.49732140000015,None,316.5076573200007,None,['b'],[0.9459540999996534],316.49732140000015,None,None,318.44100550000076,None,b,0.9459540999996534,1,0,0.32,321.1113658000004,None,None,321.1113658000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
25,0,25,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,3.0109893695593497,0.872854310065634,None,322.92483660000016,None,323.84514880000006,None,323.8576851199999,None,['z'],[1.1383305999997901],323.84514880000006,None,None,325.79130090000035,None,z,1.1383305999997901,1,1,0.34615384615384615,328.81539150000026,None,None,328.81539150000026,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
