trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,89.09036339999875,None,t,62.784257600000274,89.09036339999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
,,,,,,,,,,None,151.90714039999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
0,0,0,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,3.8484563543876202,2.96697800987238,None,152.10685169999851,None,155.05656523,155.05656523,z,['z'],1.3168030000015278,[1.3168030000015278],None,157.06042460000026,None,z,1.3168030000015278,1,1,1.0,160.95978999999897,None,None,160.95978999999897,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
1,0,1,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,2.0691390047117237,0.872854310065634,None,162.74006269999882,None,163.59050502999963,163.59050502999963,None,[],,,None,165.5897348999988,None,None,[],0,3,0.5,167.68312909999986,None,['z'],167.68312909999986,None,[0.6139650999994046],,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
2,0,2,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,4.89745263827305,3.44771472893932,None,169.49011969999992,None,172.92394892999874,172.92394892999874,None,[],,,['z'],174.9277525999987,None,z,2.091345500000898,1,1,0.6666666666666666,179.8520325999998,None,None,179.8520325999998,None,,[0.09134550000089803],,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
3,0,3,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,4.638307379983409,1.931001549337,None,181.65684659999897,None,183.57284212999986,183.57284212999986,None,[],,,None,185.5702395999997,None,None,[],0,3,0.5,190.23282180000024,None,['z'],190.23282180000024,None,[1.30441509999946],,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
4,0,4,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,2.269747919971076,2.79689535976632,None,192.03975639999953,None,194.82387302999888,194.82387302999888,z,['z'],0.7420194000005722,[0.7420194000005722],None,196.8297021999988,None,z,0.7420194000005722,0,0,0.4,199.10602749999998,None,None,199.10602749999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
5,0,5,0,,,,,,,,,,1.0,2,0.0,14.0,1.0,3.22645636662535,1.93473628110684,None,200.90717589999986,None,202.82376532999916,202.82376532999916,b,['b'],1.6022817000011855,[1.6022817000011855],None,204.82973709999897,None,b,1.6022817000011855,0,0,0.3333333333333333,208.06616589999976,None,None,208.06616589999976,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
6,0,6,0,,,,,,,,,,0.0,1,0.0,14.0,1.0,3.75606544973216,0.864984636888209,None,209.8739100999992,None,210.7237567299988,210.7237567299988,z,['z'],0.9388960000014777,[0.9388960000014777],None,212.72981309999886,None,z,0.9388960000014777,1,1,0.42857142857142855,216.50191509999968,None,None,216.50191509999968,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
7,0,7,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,4.85706913915242,2.55132244875705,None,218.30688179999925,None,220.84037063000034,220.84037063000034,z,['z'],1.0114410000005591,[1.0114410000005591],None,222.84554039999966,None,z,1.0114410000005591,0,0,0.375,227.71686989999944,None,None,227.71686989999944,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
8,0,8,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,2.8965037234387068,2.711340609857,None,229.52272259999881,None,232.20591612999925,232.20591612999925,z,['z'],0.9967027000002417,[0.9967027000002417],None,234.2049532000001,None,z,0.9967027000002417,0,0,0.3333333333333333,237.11707919999935,None,None,237.11707919999935,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
