trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,270.1265658000002,None,t,53.796259499999906,270.1265658000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
,,,,,,,,,,None,323.9409303000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
0,0,0,0,,,,,,,,,,1,1,1,50,1,2.143942873030107,2.46471651569721,None,324.14045740000074,None,326.84110000000055,None,326.8406026000006,None,None,326.84110000000055,None,['b'],[0.2245476999996754],328.6072759000008,None,b,2.2245476999996754,1,1,1.0,330.7798902000004,None,None,330.7798902000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
1,0,1,0,,,,,,,,,,2,2,1,50,1,2.096051788593735,2.55132244875705,None,332.57347860000027,None,335.18512590000046,None,335.18984880000096,None,['b'],335.18512590000046,None,None,,337.10766409999997,None,b,1.5025897999994413,1,1,1.0,339.2145423000002,None,None,339.2145423000002,None,[1.5025897999994413],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
2,0,2,0,,,,,,,,,,0,1,0,36,1,2.8965037234387068,0.864984636888209,None,341.02393500000017,None,341.9704608000002,None,341.97419095000055,None,['z'],341.9704608000002,None,None,,343.8907592000005,None,z,1.124323000000004,1,1,1.0,346.7979589000006,None,None,346.7979589000006,None,[1.124323000000004],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
3,0,3,0,,,,,,,,,,1,2,0,36,1,3.00616914487701,0.886051557539332,None,348.60722480000004,None,349.54524130000027,None,349.557345300001,None,['z'],349.54524130000027,None,None,,351.4906623000006,None,z,1.2243417999989106,1,1,1.0,354.5146153000005,None,None,354.5146153000005,None,[1.2243417999989106],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
4,0,4,0,,,,,,,,,,0,0,1,50,1,2.755584162388418,1.23760834810881,None,356.3238824,None,357.65074340000047,None,357.6571827000009,None,None,357.65074340000047,None,['b'],[0.558411499999238],359.55772810000053,None,b,2.558411499999238,1,1,1.0,362.32914100000016,None,None,362.32914100000016,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
5,0,5,0,,,,,,,,,,2,1,0,14,1,4.79595120749692,2.99272735241982,None,364.1408110000002,None,367.1822940000002,None,367.19076390000043,None,None,367.1822940000002,None,['z'],[0.29921119999926304],369.12379730000066,None,z,2.299211199999263,1,1,1.0,373.9237546000004,None,None,373.9237546000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
6,0,6,0,,,,,,,,,,0,2,0,14,1,3.0795770157756097,1.49618260131236,None,375.72393640000064,None,377.2630785000001,None,377.2738808000007,None,None,377.2630785000001,None,['b'],[0.11792749999858643],379.20713270000033,None,b,2.1179274999985864,0,0,0.8571428571428571,382.2955378000006,None,None,382.2955378000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
7,0,7,0,,,,,,,,,,1,1,1,50,1,4.89745263827305,0.823898895776125,None,384.1065453000001,None,384.9823286999999,None,384.9906966000002,None,None,384.9823286999999,None,"['z', 'b']","[0.506081899999117, 2.9691095999987738]",386.9237800000001,None,z,2.506081899999117,0,0,0.75,391.82288920000065,None,None,391.82288920000065,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
