trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,30.495641800000158,None,t,58.0425895999997,30.495641800000158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
,,,,,,,,,,None,88.56546299999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
0,0,0,0,,,,,,,,,,1,2,0,36,1,2.038421555814887,2.9722947448457,None,88.76569039999958,None,91.71558106999964,91.71558106999964,b,['b'],1.785262600000351,[1.785262600000351],None,93.72135479999997,None,b,1.785262600000351,0,0,0.0,95.80175719999988,None,None,95.80175719999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
1,0,1,0,,,,,,,,,,0,0,1,50,1,3.8484563543876202,0.859460502749755,None,97.58225669999956,None,98.41546716999983,98.41546716999983,b,['b'],1.5163101999996798,[1.5163101999996798],None,100.4204294000001,None,b,1.5163101999996798,1,1,0.5,104.29674729999988,None,None,104.29674729999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
2,0,2,0,,,,,,,,,,2,2,1,50,1,2.0691390047117237,2.18142366553255,None,106.09929529999954,None,108.26604477000001,108.26604477000001,b,['b'],1.3415921000005255,[1.3415921000005255],None,110.27111719999994,None,b,1.3415921000005255,1,1,0.6666666666666666,112.36196870000003,None,None,112.36196870000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
3,0,3,0,,,,,,,,,,0,0,1,50,1,3.08399219778019,1.09364692357212,None,114.16587379999964,None,115.23261426999943,115.23261426999943,b,['b'],1.5121361999999863,[1.5121361999999863],None,117.23797519999971,None,b,1.5121361999999863,1,1,0.75,120.34506189999956,None,None,120.34506189999956,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
4,0,4,0,,,,,,,,,,2,1,0,14,1,2.8965037234387068,0.767372347918183,None,122.14912879999974,None,122.89938516999973,122.89938516999973,z,['z'],1.8477560000001176,[1.8477560000001176],None,124.90335640000012,None,z,1.8477560000001176,1,1,0.8,127.81190079999942,None,None,127.81190079999942,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
5,0,5,0,,,,,,,,,,0,0,1,50,1,3.00565230777806,1.49331160364633,None,129.61568910000005,None,131.08275636999952,131.08275636999952,b,['b'],1.2261429999998654,[1.2261429999998654],None,133.08862390000013,None,b,1.2261429999998654,1,1,0.8333333333333334,136.1144435999995,None,None,136.1144435999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
6,0,6,0,,,,,,,,,,1,2,0,36,1,3.35750049552731,3.44771472893932,None,137.9157594999997,None,141.34887696999976,141.34887696999976,None,[],,,['z'],143.3533179999995,None,z,2.502397700000074,1,1,0.8571428571428571,146.73012819999985,None,None,146.73012819999985,None,[0.5023977000000741],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
7,0,7,0,,,,,,,,,,2,0,0,36,1,4.79595120749692,2.19546497995913,None,148.53232639999987,None,150.6992449700001,150.6992449700001,z,['z'],1.1694274999999834,[1.1694274999999834],None,152.70814019999943,None,z,1.1694274999999834,1,1,0.875,157.52793199999996,None,None,157.52793199999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
8,0,8,0,,,,,,,,,,1,1,1,50,1,2.070770331037005,2.711340609857,None,159.33231859999978,None,162.0155045700003,162.0155045700003,None,[],,,None,164.01802119999957,None,None,[],0,3,0.7777777777777778,166.1294114000002,None,['b'],166.1294114000002,None,,[1.6173186000005444],,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
9,0,9,0,,,,,,,,,,2,0,0,36,1,3.75606544973216,2.79689535976632,None,167.91565639999953,None,170.6995049699999,170.6995049699999,None,[],,,['z'],172.7023251999999,None,z,2.5293588000004092,1,1,0.8,176.4787441999997,None,None,176.4787441999997,None,[0.5293588000004092],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
10,0,10,0,,,,,,,,,,1,1,1,50,1,3.22645636662535,2.24098228083631,None,178.28262499999983,None,180.49970347,180.49970347,None,[],,,['b'],182.5023395999997,None,b,2.043600900000456,1,1,0.8181818181818182,185.74514589999944,None,None,185.74514589999944,None,[0.04360090000045602],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
