trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,313.3328833000014,None,t,70.21441190000041,313.3328833000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
,,,,,,,,,,None,383.5704301000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
0,0,0,0,,,,,,,,,,1,2,1,50,1,4.79595120749692,0.823898895776125,None,383.7705070000011,None,384.84964580000087,None,384.853454060002,None,['z'],[1.3871774999988702],384.84964580000087,None,None,386.5872281000011,None,z,1.3871774999988702,1,1,1.0,391.40937230000054,None,None,391.40937230000054,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
1,0,1,0,,,,,,,,,,2,0,1,50,1,3.75606544973216,0.886051557539332,None,393.20391070000005,None,394.17783170000075,None,394.187615560001,None,['z'],[1.3929482999992615],394.17783170000075,None,None,396.0870498000004,None,z,1.3929482999992615,1,1,1.0,399.86145530000067,None,None,399.86145530000067,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
2,0,2,0,,,,,,,,,,0,2,0,36,1,3.00616914487701,1.09364692357212,None,401.6707834000008,None,402.8224416000012,None,402.82039642000166,None,['b'],[1.4305079000005207],402.8224416000012,None,None,404.75395560000106,None,b,1.4305079000005207,1,1,1.0,407.77865270000075,None,None,407.77865270000075,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
3,0,3,0,,,,,,,,,,1,0,0,36,1,3.22645636662535,2.19546497995913,None,409.58726150000075,None,411.82084320000104,None,411.82047690000127,None,['b'],[1.6979577999991307],411.82084320000104,None,None,413.7705805000005,None,b,1.6979577999991307,1,1,1.0,417.0110343000015,None,None,417.0110343000015,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
4,0,4,0,,,,,,,,,,0,1,1,50,1,2.755584162388418,3.44771472893932,None,418.8205195999999,None,422.3346762000001,None,422.3371572200009,None,['z'],[1.1658043999996153],422.3346762000001,None,None,424.27141930000107,None,z,1.1658043999996153,1,1,1.0,427.04398089999995,None,None,427.04398089999995,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
5,0,5,0,,,,,,,,,,2,2,0,14,1,4.79396941305267,3.19646747994707,None,428.8546283000014,None,432.10441100000025,None,432.1038612000002,None,['b'],[1.7655076999999437],432.10441100000025,None,None,434.0544049,None,b,1.7655076999999437,1,1,1.0,438.86252870000135,None,None,438.86252870000135,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
6,0,6,0,,,,,,,,,,0,0,0,14,1,3.08399219778019,2.55132244875705,None,440.6706694000004,None,443.26975550000134,None,443.2704956000007,None,['b'],[0.8692650000011781],443.26975550000134,None,None,445.2204724000003,None,b,0.8692650000011781,1,1,1.0,448.31181930000093,None,None,448.31181930000093,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
7,0,7,0,,,,,,,,,,1,2,1,50,1,2.269747919971076,2.71666458349534,None,450.120558300001,None,452.8862270000009,None,452.88719330000004,None,['z'],[1.6420390999992378],452.8862270000009,None,None,454.83732390000114,None,z,1.6420390999992378,1,1,1.0,457.1271462000004,None,None,457.1271462000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
