trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,224.43301880000035,None,t,72.9179568999989,224.43301880000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
,,,,,,,,,,None,297.3823494999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
0,0,0,0,,,,,,,,,,0,1,1,50,1,2.096051788593735,2.99272735241982,None,297.5823889000003,None,300.83776130000024,None,300.83232962000073,None,None,300.83776130000024,None,['z'],[0.5078856999989512],302.5658089999997,None,z,2.507885699998951,1,1,1.0,304.68867409999984,None,None,304.68867409999984,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
1,0,1,0,,,,,,,,,,1,0,0,36,1,2.8965037234387068,2.31238477131615,None,306.4824275000001,None,308.9216174000003,None,308.9325679000003,None,None,308.9216174000003,None,['b'],[2.28882429999976],310.7992574,None,b,4.28882429999976,1,1,1.0,313.7068718999999,None,None,313.7068718999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
2,0,2,0,,,,,,,,,,0,2,0,36,1,3.35750049552731,0.886051557539332,None,315.5155196000005,None,316.47066220000033,None,316.4824489800001,None,None,316.47066220000033,None,['b'],[0.3399872999989384],318.3990461000003,None,b,2.3399872999989384,1,1,1.0,321.7720181000004,None,None,321.7720181000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
3,0,3,0,,,,,,,,,,2,0,1,50,1,3.22645636662535,2.19546497995913,None,323.58248770000046,None,325.84131460000026,None,325.84929178000016,None,['b'],325.84131460000026,None,None,,327.76576170000044,None,b,1.0166371999994226,0,0,0.75,331.00413240000034,None,None,331.00413240000034,None,[1.0166371999994226],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
4,0,4,0,,,,,,,,,,0,1,1,50,1,3.00616914487701,1.90695111352951,None,332.81583039999987,None,334.7708665,None,334.78268633999994,None,['z'],334.7708665,None,None,,336.71593219999977,None,z,1.25103609999951,1,1,0.8,339.73816110000007,None,None,339.73816110000007,None,[1.25103609999951],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
5,0,5,0,,,,,,,,,,2,0,1,50,1,2.0935163976022517,1.52074017648695,None,341.54892389999986,None,343.12143259999993,None,343.1326384400003,None,None,343.12143259999993,None,['b'],[0.07877619999999297],345.0658368000004,None,b,2.078776199999993,0,0,0.6666666666666666,347.1748373999999,None,None,347.1748373999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
6,0,6,0,,,,,,,,,,1,1,0,14,1,2.038421555814887,3.19646747994707,None,348.9824859999999,None,352.23914140000034,None,352.24943694000046,None,['z'],352.23914140000034,None,None,,354.1826839000005,None,z,1.2637164999996457,0,0,0.5714285714285714,356.23860719999993,None,None,356.23860719999993,None,[1.2637164999996457],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
7,0,7,0,,,,,,,,,,0,2,0,36,1,4.638307379983409,2.2926827756088,None,358.0492983000004,None,360.4305575999997,None,360.4323810200005,None,None,360.4305575999997,None,['b'],[0.36824779999915336],362.3326416,None,b,2.3682477999991534,1,1,0.625,366.9902447000004,None,None,366.9902447000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
8,0,8,0,,,,,,,,,,2,0,1,50,1,2.396355568442425,2.55132244875705,None,368.79934719999983,None,371.4048026999999,None,371.4159021400004,None,None,371.4048026999999,None,['b'],[0.020667300000241084],373.3492741,None,b,2.020667300000241,0,0,0.5555555555555556,375.7551334,None,None,375.7551334,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
9,0,9,0,,,,,,,,,,1,2,1,50,1,2.269747919971076,3.25187717164471,None,377.56599300000016,None,380.86755919999996,None,380.86576370000057,None,['z'],380.86755919999996,None,None,,382.8160090000001,None,z,1.5771088999999847,1,1,0.6,385.10674689999996,None,None,385.10674689999996,None,[1.5771088999999847],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
10,0,10,0,,,,,,,,,,0,0,0,14,1,3.8873543302872697,1.49331160364633,None,386.9159995,None,388.45686490000026,None,388.4660072400005,None,None,388.45686490000026,None,['z'],[0.10967199999959121],390.3994911,None,z,2.109671999999591,0,0,0.5454545454545454,394.30456289999984,None,None,394.30456289999984,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
11,0,11,0,,,,,,,,,,1,2,1,50,1,4.08205346963855,1.14006717102905,None,396.1163127,None,397.30514200000016,None,397.31624234000026,None,['z'],397.30514200000016,None,None,,399.2494453999998,None,z,0.9134662999995271,1,1,0.5833333333333334,403.33718020000015,None,None,403.33718020000015,None,[0.9134662999995271],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
12,0,12,0,,,,,,,,,,2,1,0,36,1,4.89745263827305,1.931001549337,None,405.1495224,None,407.1374397999998,None,407.14960504000044,None,None,407.1374397999998,None,['z'],[0.6765155000002778],409.0831398999999,None,z,2.676515500000278,0,0,0.5384615384615384,413.98820590000014,None,None,413.98820590000014,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
13,0,13,0,,,,,,,,,,1,0,0,36,1,3.0795770157756097,2.9722947448457,None,415.79956949999996,None,418.8234355000004,None,418.8329104400003,None,None,418.8234355000004,None,['b'],[0.2593174999992698],420.7654628,None,b,2.25931749999927,1,1,0.5714285714285714,423.85672650000015,None,None,423.85672650000015,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
14,0,14,0,,,,,,,,,,2,1,0,36,1,4.79396941305267,2.18142366553255,None,425.66618759999983,None,427.9040621000004,None,427.91625604000035,None,['z'],427.9040621000004,None,None,,429.8495345000001,None,z,1.8075663999998142,0,0,0.5333333333333333,434.6578618000003,None,None,434.6578618000003,None,[1.8075663999998142],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
15,0,15,0,,,,,,,,,,1,2,1,50,1,4.75208449114276,2.68012679460483,None,436.46625029999996,None,439.1898454000002,None,439.1998422400005,None,['z'],439.1898454000002,None,None,,441.13294339999993,None,z,1.4680914999999004,1,1,0.5625,445.90790600000037,None,None,445.90790600000037,None,[1.4680914999999004],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
16,0,16,0,,,,,,,,,,2,1,0,36,1,3.00565230777806,2.46471651569721,None,447.7163341000005,None,450.2390419000003,None,450.24979634000044,None,['z'],450.2390419000003,None,None,,452.18312400000013,None,z,1.7486255999992864,0,0,0.5294117647058824,455.20451779999985,None,None,455.20451779999985,None,[1.7486255999992864],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
17,0,17,0,,,,,,,,,,1,2,1,50,1,4.79595120749692,3.093067417437,None,457.01639499999965,None,460.15626520000023,None,460.1663968400002,None,['z'],460.15626520000023,None,None,,462.0995020999999,None,z,1.20004549999976,1,1,0.5555555555555556,466.9086470000002,None,None,466.9086470000002,None,[1.20004549999976],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
18,0,18,0,,,,,,,,,,0,1,1,50,1,4.057112590273469,1.92795341140246,None,468.7162924000004,None,470.68620199999987,None,470.6830944000003,None,None,470.68620199999987,None,['b'],[0.6147701999989295],472.6331101000005,None,b,2.6147701999989295,0,0,0.5263157894736842,476.7070727999999,None,None,476.7070727999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
