trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,321.86768210000037,None,t,67.48622739999928,321.86768210000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
,,,,,,,,,,None,389.38575100000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
0,0,0,0,,,,,,,,,,1,1,0,36,1,2.93061443445534,2.711340609857,None,389.5854820000004,None,392.2693250100002,392.2693250100002,z,['z'],1.9139994999995906,[1.9139994999995906],None,394.28178720000005,None,z,1.9139994999995906,0,0,0.0,397.28702440000006,None,None,397.28702440000006,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
1,0,1,0,,,,,,,,,,0,0,1,50,1,3.8873543302872697,0.886051557539332,None,399.0353304,None,399.9022292100004,399.9022292100004,z,['z'],1.7524577999997746,[1.7524577999997746],None,401.9079606,None,z,1.7524577999997746,1,1,0.5,405.8300645000004,None,None,405.8300645000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
2,0,2,0,,,,,,,,,,2,1,1,50,1,3.0795770157756097,2.18142366553255,None,407.6189436000004,None,409.78560941000035,409.78560941000035,None,[],,,['z'],411.79088420000016,None,z,2.1090380999994522,1,1,0.6666666666666666,414.8715440000001,None,None,414.8715440000001,None,[0.10903809999945224],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
3,0,3,0,,,,,,,,,,0,0,1,50,1,3.08399219778019,3.093067417437,None,416.6854341000003,None,419.7522858100002,419.7522858100002,z,['z'],1.6747625999996671,[1.6747625999996671],None,421.7571640000001,None,z,1.6747625999996671,1,1,0.75,424.8648628000001,None,None,424.8648628000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
4,0,4,0,,,,,,,,,,2,2,0,14,1,3.00565230777806,2.9722947448457,None,426.66885100000036,None,429.6189349100001,429.6189349100001,b,['b'],2.009313999999449,[2.009313999999449],None,431.62540690000014,None,b,2.009313999999449,1,1,0.8,434.6484399000001,None,None,434.6484399000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
5,0,5,0,,,,,,,,,,0,0,1,50,1,4.08205346963855,2.96697800987238,None,436.45255810000026,None,439.40227381000034,439.40227381000034,z,['z'],1.6859999999992397,[1.6859999999992397],None,441.40736810000044,None,z,1.6859999999992397,1,1,0.8333333333333334,445.5140529,None,None,445.5140529,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
6,0,6,0,,,,,,,,,,1,1,0,36,1,3.6791616380244196,2.99272735241982,None,447.3189416,None,450.28566791000014,450.28566791000014,None,[],,,['z'],452.28890550000006,None,z,3.5726976999994804,0,0,0.7142857142857143,455.9794727000003,None,None,455.9794727000003,None,[1.5726976999994804],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
7,0,7,0,,,,,,,,,,2,0,0,36,1,2.038421555814887,2.79689535976632,None,457.78561240000045,None,460.56912821000026,460.56912821000026,b,['b'],1.7102342999992288,[1.7102342999992288],None,462.5763608000002,None,b,1.7102342999992288,1,1,0.75,464.6315869,None,None,464.6315869,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
8,0,8,0,,,,,,,,,,1,2,1,50,1,2.661399651610695,1.09364692357212,None,466.43602660000033,None,467.5022489100003,467.5022489100003,None,[],,,['b'],469.50551240000004,None,b,2.139417599999888,0,0,0.6666666666666666,472.17911230000027,None,None,472.17911230000027,None,[0.1394175999998879],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
9,0,9,0,,,,,,,,,,2,0,0,36,1,4.79396941305267,1.85507739556255,None,473.9856311000003,None,475.81893821000006,475.81893821000006,None,[],,,['b'],477.82276740000043,None,b,2.454715799999576,1,1,0.7,482.6310641,None,None,482.6310641,None,[0.4547157999995761],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
10,0,10,0,,,,,,,,,,1,2,1,50,1,4.75208449114276,1.93473628110684,None,484.4362205000007,None,486.35236651000025,486.35236651000025,None,[],,,['z'],488.3553830999999,None,z,2.243341800000053,1,1,0.7272727272727273,493.13096230000065,None,None,493.13096230000065,None,[0.2433418000000529],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
11,0,11,0,,,,,,,,,,2,1,1,50,1,3.35750049552731,2.32696722275902,None,494.9357321000007,None,497.2355982099999,497.2355982099999,z,['z'],1.6388133999989805,[1.6388133999989805],None,499.2402142000001,None,z,1.6388133999989805,1,1,0.75,502.6147484000003,None,None,502.6147484000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
12,0,12,0,,,,,,,,,,0,2,0,36,1,3.9110799880328697,1.931001549337,None,504.41891900000064,None,506.33565591000036,506.33565591000036,None,[],,,['b'],508.3418425,None,b,2.4905423999998675,1,1,0.7692307692307693,512.2642024000006,None,None,512.2642024000006,None,[0.4905423999998675],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
13,0,13,0,,,,,,,,,,1,0,0,14,1,2.0935163976022517,1.52074017648695,None,514.0690375000004,None,515.5690386100006,515.5690386100006,z,['z'],1.6500830999993923,[1.6500830999993923],None,517.5727332000006,None,z,1.6500830999993923,0,0,0.7142857142857143,519.6787519,None,None,519.6787519,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
14,0,14,0,,,,,,,,,,2,1,1,50,1,3.75606544973216,2.93253104700369,None,521.4856149000007,None,524.4024152100002,524.4024152100002,None,[],,,['z'],526.4070084000004,None,z,3.4070576999993136,1,1,0.7333333333333333,530.1813259999999,None,None,530.1813259999999,None,[1.4070576999993136],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
15,0,15,0,,,,,,,,,,1,2,1,50,1,2.435645686656409,2.46471651569721,None,531.9858776000001,None,534.4359619100006,534.4359619100006,None,[],,,['z'],536.4393424999998,None,z,2.9134616999990612,1,1,0.75,538.8965259000006,None,None,538.8965259000006,None,[0.9134616999990612],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
16,0,16,0,,,,,,,,,,2,1,1,50,1,4.85706913915242,2.41859016397919,None,540.7023740000004,None,543.1025161099998,543.1025161099998,None,[],,,['b'],545.1051459999999,None,b,2.3541074999993725,0,0,0.7058823529411765,549.9794980000006,None,None,549.9794980000006,None,[0.3541074999993725],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
