trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,69.3811326999994,None,t,53.313822200000686,69.3811326999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
,,,,,,,,,,None,122.72019679999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
0,0,0,0,,,,,,,,,,1,2,1,50,1,2.396355568442425,2.2926827756088,None,122.92038819999925,None,125.18719921999919,125.18719921999919,None,[],['b'],[0.37621890000082203],127.19520369999918,None,b,2.376218900000822,0,0,0.0,129.64021779999985,None,None,129.64021779999985,None,,,,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
1,0,1,0,,,,,,,,,,2,0,1,50,1,2.9608932424063896,1.90695111352951,None,131.42045739999958,None,133.30335111999983,133.30335111999983,z,['z'],None,,135.30998409999938,None,z,1.7241429000005155,1,1,0.5,138.28250219999973,None,None,138.28250219999973,None,1.7241429000005155,[1.7241429000005155],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
2,0,2,0,,,,,,,,,,0,2,0,36,1,3.08399219778019,0.823898895776125,None,140.08710960000008,None,140.88729831999962,140.88729831999962,b,['b'],None,,142.89202229999955,None,b,1.7382774000006975,1,1,0.6666666666666666,146.0010910000001,None,None,146.0010910000001,None,1.7382774000006975,[1.7382774000006975],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
3,0,3,0,,,,,,,,,,1,0,0,36,1,3.6791616380244196,1.49331160364633,None,147.80354629999965,None,149.27008581999934,149.27008581999934,b,['b'],None,,151.27664849999928,None,b,1.545232000001306,1,1,0.75,154.98353489999954,None,None,154.98353489999954,None,1.545232000001306,[1.545232000001306],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
4,0,4,0,,,,,,,,,,0,1,1,50,1,3.35750049552731,1.09364692357212,None,156.78722500000003,None,157.85394671999956,157.85394671999956,None,[],['z'],[0.4979780000003302],159.85667549999926,None,z,2.49797800000033,1,1,0.8,163.23513309999998,None,None,163.23513309999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
5,0,5,0,,,,,,,,,,2,2,0,14,1,3.75606544973216,2.13476920223271,None,165.0372886999994,None,167.15405071999947,167.15405071999947,b,['b'],None,,169.15933419999965,None,b,1.7118276000010155,1,1,0.8333333333333334,172.9339444999996,None,None,172.9339444999996,None,1.7118276000010155,[1.7118276000010155],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
6,0,6,0,,,,,,,,,,0,0,0,14,1,2.0935163976022517,0.767372347918183,None,174.7370904999998,None,175.48707681999957,175.48707681999957,None,[],['b'],[0.5362235000011424],177.4909964999997,None,b,2.5362235000011424,1,1,0.8571428571428571,179.60145379999994,None,None,179.60145379999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
7,0,7,0,,,,,,,,,,1,2,1,50,1,2.070770331037005,2.46643561303325,None,181.40276689999973,None,183.83719461999925,183.83719461999925,z,['z'],None,,185.8393314999994,None,z,1.7360789000013028,1,1,0.875,187.93405859999984,None,None,187.93405859999984,None,1.7360789000013028,[1.7360789000013028],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
