trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,200.6676918000012,None,t,60.33256369999981,200.6676918000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
,,,,,,,,,,None,261.0219434999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
0,0,0,0,,,,,,,,,,1,2,0,36,1,2.435645686656409,2.79689535976632,None,261.22209490000023,None,264.3034645000007,None,264.3054159599977,None,None,264.3034645000007,None,['b'],[0.7208753999984765],266.0217915000012,None,b,2.7208753999984765,0,0,0.0,268.4767582000004,None,None,268.4767582000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
1,0,1,0,,,,,,,,,,0,0,1,50,1,3.8873543302872697,2.96697800987238,None,270.2719332000015,None,273.29499360000045,None,273.3047100399992,None,None,273.29499360000045,None,['z'],[0.23900169999797072],275.22194300000046,None,z,2.2390016999979707,0,0,0.0,279.1296020000009,None,None,279.1296020000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
2,0,2,0,,,,,,,,,,2,2,1,50,1,3.19303509672656,0.823898895776125,None,280.9376596000002,None,281.84322170000087,None,281.85529972,None,['b'],281.84322170000087,None,None,,283.7544934000016,None,b,1.5330025999974168,1,1,0.3333333333333333,286.96445680000033,None,None,286.96445680000033,None,[1.5330025999974168],,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
3,0,3,0,,,,,,,,,,2,2,1,50,1,3.00616914487701,3.19646747994707,None,288.77111270000023,None,292.0111712000016,None,292.0219851400008,None,None,292.0111712000016,None,['b'],[2.449974099998144],293.9541672000014,None,b,4.449974099998144,1,1,0.5,296.9812528000002,None,None,296.9812528000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
4,0,4,0,,,,,,,,,,1,1,1,50,1,4.18755802100366,1.49618260131236,None,298.78836560000127,None,300.3459872000003,None,300.3558031799997,None,None,300.3459872000003,None,['b'],[0.2321561999979167],302.27202320000106,None,b,2.2321561999979167,1,1,0.6,306.4712864000012,None,None,306.4712864000012,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
5,0,5,0,,,,,,,,,,0,0,1,50,1,2.661399651610695,2.55132244875705,None,308.2719949000002,None,310.8769876000006,None,310.88937213999924,None,None,310.8769876000006,None,['b'],[0.31045259999882546],312.8219078000002,None,b,2.3104525999988255,1,1,0.6666666666666666,315.4950172000008,None,None,315.4950172000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
6,0,6,0,,,,,,,,,,2,1,0,14,1,3.0109893695593497,0.760509851028298,None,317.30561540000053,None,318.1073903000015,None,318.10536090000005,None,None,318.1073903000015,None,['b'],[0.4799217999971006],320.0554303000008,None,b,2.4799217999971006,0,0,0.5714285714285714,323.0764831000015,None,None,323.0764831000015,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
7,0,7,0,,,,,,,,,,0,0,1,50,1,2.0691390047117237,2.41859016397919,None,324.88886340000136,None,327.33819720000065,None,327.3378411599995,None,None,327.33819720000065,None,['b'],[0.684631599999193],329.28869100000156,None,b,2.684631599999193,1,1,0.625,331.3789915000016,None,None,331.3789915000016,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
8,0,8,0,,,,,,,,,,1,2,0,36,1,4.85706913915242,2.46471651569721,None,333.1890445000008,None,335.7127991000016,None,335.72213714000026,None,['b'],335.7127991000016,None,"['z', 'z', 'z', 'z', 'z', 'z']","[1.0182789999980741, 2.004820899997867, 2.4682094999989204, 2.8270511999980954, 3.388126199997714, 4.0115439999972295]",337.6552646,None,b,1.6629370999980893,0,0,0.5555555555555556,342.52100840000094,None,"['z', 'z']",342.52100840000094,None,[1.6629370999980893],"[0.07098319999931846, 1.3941893999981403]",,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
9,0,9,0,,,,,,,,,,2,0,0,36,1,2.396355568442425,2.71666458349534,['z'],344.32225650000146,None,347.0970956000001,None,347.10599934000055,None,None,347.0970956000001,None,['b'],[0.31334419999802776],349.0390387000007,None,b,2.3133441999980278,0,0,0.5,351.44363169999997,None,None,351.44363169999997,None,,,[0.4881203999975696],,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
