trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,36.19547639999928,None,t,41.35295219999989,36.19547639999928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
,,,,,,,,,,None,77.57613739999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
0,0,0,0,,,,,,,,,,1.0,2,0.0,36.0,1.0,3.8873543302872697,1.92795341140246,None,77.77578809999977,None,79.67638732999994,79.67638732999994,None,[],['b'],[0.7542493999999351],81.68905799999993,None,b,2.754249399999935,0,0,0.0,85.64643079999951,None,None,85.64643079999951,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
1,0,1,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,2.269747919971076,1.931001549337,None,87.39303729999938,None,89.29290792999954,89.29290792999954,None,[],['b'],[0.5153695999997581],91.29326559999936,None,b,2.515369599999758,0,0,0.0,93.58577679999962,None,None,93.58577679999962,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
2,0,2,0,,,,,,,,,,1.0,0,0.0,14.0,1.0,3.08399219778019,2.93253104700369,None,95.39296909999939,None,98.30954212999977,98.30954212999977,None,[],['b'],[1.519145600000229],100.31418109999959,None,b,3.519145600000229,0,0,0.0,103.4227736999992,None,None,103.4227736999992,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
3,0,3,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,3.6791616380244196,3.19646747994707,None,105.22615869999936,None,108.39313922999945,108.39313922999945,None,[],['b'],[0.36867830000028334],110.39793459999964,None,b,2.3686783000002833,1,1,0.25,114.13246629999958,None,None,114.13246629999958,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
4,0,4,0,,,,,,,,,,0.0,0,1.0,50.0,1.0,3.0795770157756097,3.44771472893932,None,115.90917619999982,None,119.3421544299993,119.3421544299993,None,[],['b'],[1.179889600000024],121.34057559999928,None,b,3.179889600000024,1,1,0.4,124.42597949999981,None,None,124.42597949999981,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
5,0,5,0,,,,,,,,,,0.0,0,1.0,50.0,1.0,3.9110799880328697,1.93473628110684,None,126.22617699999955,None,128.14296482999936,128.14296482999936,None,[],['b'],[2.457555400000274],130.1491849999993,None,b,4.457555400000274,1,1,0.5,134.0734569999995,None,None,134.0734569999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
6,0,6,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,3.75606544973216,3.25187717164471,None,135.87584999999945,None,139.1097321299997,139.1097321299997,None,[],['z'],[0.5973435000005338],141.11450399999922,None,z,2.597343500000534,0,0,0.42857142857142855,144.88746459999948,None,None,144.88746459999948,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
7,0,7,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,3.8484563543876202,2.32696722275902,None,146.69317589999991,None,148.99309673,148.99309673,None,[],None,,151.00221199999942,None,None,[],0,3,0.375,154.8935232999993,None,['b'],154.8935232999993,None,[0.06884660000014264],,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
8,0,8,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,2.070770331037005,0.767372347918183,None,156.67673680000007,None,157.42641402999953,157.42641402999953,None,[],['z'],[0.7008546999995815],159.43187390000003,None,z,2.7008546999995815,0,0,0.3333333333333333,161.5224494999993,None,None,161.5224494999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
