trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,368.8852485999996,None,t,74.27580830000079,368.8852485999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
,,,,,,,,,,None,443.18300550000095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
0,0,0,0,,,,,,,,,,1,0,1,50,1,3.8873543302872697,2.79689535976632,None,443.3830923000005,None,446.3522472000004,None,446.3494997900005,None,['r'],[1.509045699998751],446.3522472000004,None,None,448.1667957999998,None,r,1.509045699998751,1,1,1.0,452.1005174000002,None,None,452.1005174000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
1,0,1,0,,,,,,,,,,2,1,1,50,1,4.08205346963855,2.46471651569721,None,453.8843147000007,None,456.4189537000002,None,456.41593778000026,None,['b'],[1.0619013999985327],456.4189537000002,None,['b'],458.3336240999997,None,b,1.0619013999985327,0,0,0.5,462.436377,None,None,462.436377,None,[0.46517820000008214],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
2,0,2,0,,,,,,,,,,0,0,0,36,1,3.0795770157756097,2.13476920223271,None,464.23371659999975,None,466.409404,None,466.4159448500013,None,None,,466.409404,None,['r'],468.3503192999997,None,r,2.4554478000009112,0,0,0.3333333333333333,471.4328621000004,None,None,471.4328621000004,None,[0.45544780000091123],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
3,0,3,0,,,,,,,,,,1,1,0,36,1,3.19303509672656,1.49618260131236,None,473.23381020000124,None,474.7837638000001,None,474.78340585000115,None,None,,474.7837638000001,None,"['r', 'b', 'r']",476.7329542999996,None,r,3.196629199999734,0,0,0.25,479.9388619000001,None,"['r', 'b']",479.9388619000001,None,"[1.1966291999997338, 2.8650576, 2.9439430000002176]","[0.8180311000014626, 1.708149300000514]",,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
4,0,4,0,,,,,,,,,,0,2,1,50,1,3.78496720151373,1.14006717102905,None,481.74924310000097,None,482.9949011000008,None,483.0003930700008,None,None,,482.9949011000008,None,['r'],484.8836271,None,r,2.5543185000005906,1,1,0.4,488.69342700000016,None,"['b', 'b']",488.69342700000016,None,[0.5543185000005906],"[0.6410918000001402, 1.691076899998734]",,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
5,0,5,0,,,,,,,,,,2,0,0,14,1,2.435645686656409,2.55132244875705,"['b', 'b', 'b']",490.50011600000107,None,493.1049543000008,None,493.11683268000127,None,"['b', 'b']","[0.39339099999961036, 1.1715718999985256]",493.1049543000008,None,None,495.05017899999984,None,b,0.39339099999961036,1,1,0.5,497.5086615,None,None,497.5086615,None,,,"[0.7428679000004195, 1.3679775000000518, 2.230449200000294]",,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
6,0,6,0,,,,,,,,,,0,1,0,14,1,4.638307379983409,2.24098228083631,None,499.31703949999974,None,501.6064827000009,None,501.6170974800003,None,None,,501.6064827000009,None,['b'],503.5504660000006,None,b,2.539184100000057,1,1,0.5714285714285714,508.20932360000006,None,None,508.20932360000006,None,[0.5391841000000568],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
7,0,7,0,,,,,,,,,,1,0,1,50,1,3.08399219778019,1.52074017648695,None,510.0159620000013,None,511.59081979999974,None,511.60050538000144,None,['r'],[1.4323268999996799],511.59081979999974,None,None,513.5335737000005,None,r,1.4323268999996799,1,1,0.625,516.6230474000004,None,None,516.6230474000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
