trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,32.9141213999992,None,t,50.096228400000655,32.9141213999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
,,,,,,,,,,None,83.03381420000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
0,0,0,0,,,,,,,,,,1,2,0,36,1,2.8965037234387068,2.68012679460483,None,83.23414879999928,None,85.90075270999924,85.90075270999924,b,['b'],1.8737675000011222,[1.8737675000011222],None,87.90753390000009,None,b,1.8737675000011222,1,1,1.0,90.85187609999957,None,None,90.85187609999957,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
1,0,1,0,,,,,,,,,,0,0,1,50,1,2.664345149861413,1.23760834810881,None,92.63270589999956,None,93.85068000999937,93.85068000999937,z,"['z', 'b']",0.8645432000002984,"[0.8645432000002984, 1.7946461000001364]",None,95.85886059999939,None,z,0.8645432000002984,1,1,1.0,98.54624960000001,None,None,98.54624960000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
2,0,2,0,,,,,,,,,,2,2,1,50,1,2.9608932424063896,2.93253104700369,None,100.34944769999947,None,103.25089160999951,103.25089160999951,z,['z'],1.5360194000013507,[1.5360194000013507],None,105.25029089999953,None,z,1.5360194000013507,1,1,1.0,108.21576839999943,None,None,108.21576839999943,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
3,0,3,0,,,,,,,,,,0,0,1,50,1,2.0691390047117237,2.96697800987238,None,110.01685779999934,None,112.96654050999942,112.96654050999942,z,['z'],1.9289236000004166,[1.9289236000004166],None,114.96417649999967,None,z,1.9289236000004166,1,1,1.0,117.04783439999937,None,None,117.04783439999937,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
4,0,4,0,,,,,,,,,,2,1,0,14,1,3.9110799880328697,2.55132244875705,None,118.8502482999993,None,121.38431480999944,121.38431480999944,b,['b'],1.1640238000009049,[1.1640238000009049],None,123.38450379999995,None,b,1.1640238000009049,1,1,1.0,127.31467929999963,None,None,127.31467929999963,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
5,0,5,0,,,,,,,,,,0,0,1,50,1,3.22645636662535,1.1680331695907,None,129.11723419999998,None,130.26772790999976,130.26772790999976,z,['z'],1.5965459000008195,[1.5965459000008195],None,132.27314810000007,None,z,1.5965459000008195,1,1,1.0,135.51283689999946,None,None,135.51283689999946,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
6,0,6,0,,,,,,,,,,1,2,0,36,1,3.8484563543876202,0.760509851028298,None,137.31762249999974,None,138.05082940999992,138.05082940999992,z,['z'],1.3758072000009633,[1.3758072000009633],None,140.05656029999955,None,z,1.3758072000009633,0,0,0.8571428571428571,143.91623869999967,None,None,143.91623869999967,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
7,0,7,0,,,,,,,,,,2,0,0,36,1,4.08205346963855,1.85507739556255,None,145.71697689999928,None,147.55129770999966,147.55129770999966,b,['b'],1.466761000000588,[1.466761000000588],None,149.55745229999957,None,b,1.466761000000588,1,1,0.875,153.66284079999969,None,None,153.66284079999969,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
8,0,8,0,,,,,,,,,,1,1,1,50,1,2.038421555814887,2.13476920223271,None,155.46742259999974,None,157.58467350999936,157.58467350999936,b,"['b', 'z']",1.60068290000072,"[1.60068290000072, 1.917971400001079]",None,159.59093229999962,None,b,1.60068290000072,0,0,0.7777777777777778,161.63267949999954,None,None,161.63267949999954,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
9,0,9,0,,,,,,,,,,2,0,0,36,1,2.533372966674614,1.09364692357212,None,163.43417389999922,None,164.49979180999972,164.49979180999972,b,['b'],1.2252003000003242,[1.2252003000003242],None,166.4973246999998,None,b,1.2252003000003242,1,1,0.8,169.04804779999995,None,None,169.04804779999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
10,0,10,0,,,,,,,,,,1,1,1,50,1,2.070770331037005,2.79689535976632,None,170.85047069999928,None,173.6345719099999,173.6345719099999,z,['z'],1.6470398999999816,[1.6470398999999816],None,175.63953409999976,None,z,1.6470398999999816,1,1,0.8181818181818182,177.73008839999966,None,None,177.73008839999966,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
11,0,11,0,,,,,,,,,,2,2,1,50,1,3.3535975560099702,0.823898895776125,None,179.53308259999994,None,180.3344799099995,180.3344799099995,None,[],,,['z'],182.33311549999962,None,z,2.9771535000008953,1,1,0.8333333333333334,185.71587719999934,None,None,185.71587719999934,None,[0.9771535000008953],,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
12,0,12,0,,,,,,,,,,0,1,0,36,1,3.8873543302872697,1.14006717102905,None,187.5164421999998,None,188.63450890999948,188.63450890999948,b,['b'],1.384443700000702,[1.384443700000702],None,190.6390711999993,None,b,1.384443700000702,1,1,0.8461538461538461,194.5482932999994,None,None,194.5482932999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
13,0,13,0,,,,,,,,,,1,0,0,14,1,2.435645686656409,2.24098228083631,None,196.35096459999932,None,198.56784050999968,198.56784050999968,b,['b'],1.4909974000001966,[1.4909974000001966],None,200.57453689999966,None,b,1.4909974000001966,1,1,0.8571428571428571,203.0298589999993,None,None,203.0298589999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
14,0,14,0,,,,,,,,,,2,2,1,50,1,2.269747919971076,2.9722947448457,None,204.83367379999981,None,207.78342000999956,207.78342000999956,z,['z'],1.6146675000009054,[1.6146675000009054],None,209.77903199999946,None,z,1.6146675000009054,1,1,0.8666666666666667,212.06348399999933,None,None,212.06348399999933,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
15,0,15,0,,,,,,,,,,1,1,1,50,1,3.0795770157756097,3.44771472893932,None,213.8673007999996,None,217.30111390999983,217.30111390999983,z,['z'],1.407144400001016,[1.407144400001016],None,219.30619919999936,None,z,1.407144400001016,1,1,0.875,222.41447139999946,None,None,222.41447139999946,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
16,0,16,0,,,,,,,,,,2,2,1,50,1,3.75606544973216,2.31238477131615,None,224.21792559999994,None,226.50118400999955,226.50118400999955,z,['z'],1.3542964000007487,[1.3542964000007487],None,228.50171640000008,None,z,1.3542964000007487,1,1,0.8823529411764706,232.2821828999995,None,None,232.2821828999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
17,0,17,0,,,,,,,,,,0,1,0,36,1,4.638307379983409,2.99272735241982,None,234.0839686999998,None,237.05090370999997,237.05090370999997,b,['b'],1.3261933000012505,[1.3261933000012505],['z'],239.0538004,None,b,1.3261933000012505,1,1,0.8888888888888888,243.70010869999987,None,None,243.70010869999987,None,[0.48798210000040854],,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
18,0,18,0,,,,,,,,,,2,0,0,36,1,2.143942873030107,2.32696722275902,None,245.50089059999937,None,247.80157250999937,247.80157250999937,b,['b'],1.1870748999999705,[1.1870748999999705],None,249.80467270000008,None,b,1.1870748999999705,1,1,0.8947368421052632,251.9628345000001,None,None,251.9628345000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1107,2,2,2,5,12,0.95,2024-04-26_17h17.51.939,MSI_TV_v1,2022.1.1,59.93522201212018,
