trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,275.49019759999965,None,t,81.67696299999989,275.49019759999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
,,,,,,,,,,None,357.1986539000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
0,0,0,0,,,,,,,,,,1,0,0,36,1,3.22645636662535,2.18142366553255,None,357.39851299999964,None,359.85800659999995,None,359.8653332600001,None,None,359.85800659999995,None,['b'],[0.8645254000002751],361.58179549999977,None,b,2.864525400000275,0,0,0.0,364.84019709999984,None,None,364.84019709999984,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
1,0,1,0,,,,,,,,,,0,1,1,50,1,3.8484563543876202,2.55132244875705,None,366.6318623000002,None,369.2843203999996,None,369.28183492,None,None,369.2843203999996,None,['b'],[0.4613933000000543],371.1816842000003,None,b,2.4613933000000543,1,1,0.5,375.0403730000003,None,None,375.0403730000003,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
2,0,2,0,,,,,,,,,,2,0,1,50,1,4.3560033776911595,2.41859016397919,None,376.8485545999997,None,379.36171369999965,None,379.3650390200003,None,None,379.36171369999965,None,['z'],[0.39816010000049573],381.2650996999996,None,z,2.3981601000004957,0,0,0.3333333333333333,385.64012239999965,None,None,385.64012239999965,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
3,0,3,0,,,,,,,,,,2,0,1,50,1,3.6791616380244196,2.93253104700369,None,387.44884460000003,None,390.43128430000024,None,390.4324028000001,None,None,390.43128430000024,None,['b'],[0.37172540000028675],392.38211309999997,None,b,2.3717254000002868,1,1,0.5,396.07167230000005,None,None,396.07167230000005,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
4,0,4,0,,,,,,,,,,1,2,1,50,1,3.35750049552731,2.9722947448457,None,397.88197340000033,None,400.9343881,None,400.9320004800004,None,None,400.9343881,None,['z'],[0.7182001999999557],402.84883579999996,None,z,2.7182001999999557,0,0,0.4,406.2228745999996,None,None,406.2228745999996,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
5,0,5,0,,,,,,,,,,0,1,1,50,1,4.75208449114276,1.52074017648695,None,408.0324347999999,None,409.6043959000003,None,409.6152666400004,None,None,409.6043959000003,None,['b'],[0.5279060000002573],411.5489285999997,None,b,2.5279060000002573,1,1,0.5,416.32228559999976,None,None,416.32228559999976,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
6,0,6,0,,,,,,,,,,2,2,0,14,1,4.638307379983409,0.859460502749755,None,418.13242709999986,None,419.0348465000002,None,419.0322643999998,None,None,419.0348465000002,None,['z'],[1.952533300000141],420.9823613000003,None,z,3.952533300000141,1,1,0.5714285714285714,425.6402549999998,None,None,425.6402549999998,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
7,0,7,0,,,,,,,,,,0,1,1,50,1,3.00565230777806,2.31238477131615,None,427.4491535000002,None,429.8059013999996,None,429.8154901400004,None,None,429.8059013999996,None,['b'],[0.9118121999999858],431.74922579999975,None,b,2.9118121999999858,1,1,0.625,434.77418549999993,None,None,434.77418549999993,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
