trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,210.78870129999996,None,t,61.44852879999962,210.78870129999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
,,,,,,,,,,None,272.2688914999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
0,0,0,0,,,,,,,,,,0,2,1,50,1,4.89745263827305,2.41859016397919,None,272.46896039999956,None,275.1775841999988,None,275.16829182999976,None,None,275.1775841999988,None,['z'],[4.8292530000016995],276.88600359999873,None,z,6.8292530000016995,1,1,1.0,281.7913539000001,None,None,281.7913539000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
1,0,1,0,,,,,,,,,,2,1,1,50,1,2.070770331037005,2.46643561303325,None,283.6024261999992,None,286.18538329999865,None,286.1855286300001,None,None,286.18538329999865,None,['z'],[0.471020300001328],288.0692662999991,None,z,2.471020300001328,1,1,1.0,290.1602934000002,None,None,290.1602934000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
2,0,2,0,,,,,,,,,,0,0,0,36,1,4.79396941305267,2.711340609857,None,291.96811030000026,None,294.7349809999996,None,294.73460042000045,None,None,294.7349809999996,None,['z'],[0.4434850000016013],296.6525012000002,None,z,2.4434850000016013,0,0,0.6666666666666666,301.45915439999953,None,None,301.45915439999953,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
3,0,3,0,,,,,,,,,,1,1,0,36,1,4.057112590273469,2.18142366553255,None,303.2689410999992,None,305.5302379999994,None,305.53554628999996,None,None,305.5302379999994,None,['b'],[0.35600950000116427],307.4512821999997,None,b,2.3560095000011643,1,1,0.75,311.52531269999963,None,None,311.52531269999963,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
4,0,4,0,,,,,,,,,,2,0,0,14,1,3.00565230777806,1.90695111352951,None,313.33572879999883,None,315.2873535999988,None,315.2856098499997,None,None,315.2873535999988,None,['z'],[0.7830875000017841],317.2354730999996,None,z,2.783087500001784,0,0,0.6,320.25171429999864,None,None,320.25171429999864,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
5,0,5,0,,,,,,,,,,0,2,1,50,1,3.00616914487701,0.872854310065634,None,322.0526915999999,None,322.97732279999946,None,322.9863147199991,None,None,322.97732279999946,None,['b'],[1.3693328000008478],324.9191078999993,None,b,3.369332800000848,0,0,0.5,327.9344069999988,None,"['z', 'z', 'z']",327.9344069999988,None,"[0.46029660000021977, 1.2640880000017205, 1.5533077000000048]",,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
6,0,6,0,,,,,,,,,,1,0,1,50,1,4.638307379983409,0.864984636888209,None,329.7358683000002,None,330.6606938999994,None,330.6689607200002,None,None,330.6606938999994,None,['b'],[0.031488100001297425],332.6024397000001,None,b,2.0314881000012974,0,0,0.42857142857142855,337.2591520999995,None,None,337.2591520999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
7,0,7,0,,,,,,,,,,1,0,1,50,1,3.35750049552731,3.093067417437,None,339.0698192999989,None,342.20010849999926,None,342.20214374999887,None,['b'],342.20010849999926,None,None,,344.1525077999995,None,b,1.5285694000012882,0,0,0.375,347.5269030999989,None,None,347.5269030999989,None,,[1.5285694000012882],,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
