ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0798993014157179
CBC_P005,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.626114546421771
CBC_P006,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.732392108002381
CBC_P007,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.235184849795352
CBC_P009,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.289133321687783
CBC_P010,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,1.01369970503566
CBC_P013,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0259167098792643
CBC_P014,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0777095639648834
CBC_P015,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.58264257925061
CBC_P016,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.385956178021661
CBC_P017,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.722986994557244
CBC_P018,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.201068299143286
CBC_P019,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.303031917030987
CBC_P020,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-1.10427879728947
CBC_P022,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.33796394999785
CBC_P026,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.212724203550789
CBC_P027,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.366763099046244
CBC_P029,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.921646636150527
CBC_P030,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.570166997467662
CBC_P031,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,1.38456995976687
CBC_P034,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.434668609814597
CBC_P035,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.37480453342536
CBC_P036,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.117646990919343
CBC_P037,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0877806266028355
CBC_P038,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.404968707397947
CBC_P039,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,1.17554708956432
CBC_P040,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.228967249843851
CBC_P041,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.0821774241216855
CBC_P004,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.52022260976636
CBC_P005,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.5277596302759
CBC_P006,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.333240004999514
CBC_P007,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0566407197179721
CBC_P009,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.165463299584092
CBC_P010,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.297970063474583
CBC_P013,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.189376838746014
CBC_P014,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.28461752974152
CBC_P015,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.906088246408144
CBC_P016,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0935893040058371
CBC_P017,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.951310707778448
