ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.111098029772901
CBC_1002,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.236157614724297
CBC_1003,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.305153588726873
CBC_1005,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.306204321084447
CBC_1006,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.219932694608687
CBC_1007,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.101830082152225
CBC_1013,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.331855900698329
CBC_1014,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.128665891148176
CBC_1015,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.19086923823395
CBC_1016,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.199314865172521
CBC_1017,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.400349059970705
CBC_1019,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.0856540113198315
CBC_1020,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.606609208308234
CBC_1024,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.44371540785035
CBC_1027,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.791833415329849
CBC_1029,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.237024002775408
CBC_1032,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.497632255156957
CBC_1033,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.56385543778722
CBC_1036,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.192014493338194
CBC_1037,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.163674517015036
CBC_1039,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.0429849927901003
CBC_1040,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.452880758582029
CBC_1046,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.320300068003092
CBC_1047,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.397042395792885
CBC_1049,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.0566644025008624
CBC_1051,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.185961091419025
CBC_1055,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.372101987706094
CBC_1056,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,1.48852338097659
CBC_1057,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0820987773820882
CBC_1058,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.476781701470634
CBC_1062,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.579331967346889
CBC_1063,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.596268191058478
CBC_1065,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.345002487488455
CBC_1069,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0205670823203115
CBC_1072,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.123851433290816
CBC_1074,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.416719556988776
CBC_1075,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.179214505593438
CBC_1077,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0689281530240173
CBC_1080,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0277408764929744
CBC_1083,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.083051616675645
CBC_1084,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.347563185823097
CBC_1086,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.54891885462294
CBC_1095,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.255887179806708
CBC_1098,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.0959462206238235
CBC_1101,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.361201762737818
CBC_1102,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.931163181166799
CBC_1104,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,1.21697479634673
CBC_1105,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.749705794424829
CBC_1106,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.0435387520936204
CBC_1107,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.0699151726055126
CBC_1109,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.1835357496585
CBC_1116,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-1.0079487332523
CBC_1133,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.303255329084089
CBC_1142,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.298220626468777
CBC_1143,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.507544538241758
CBC_1144,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,-0.150011692857936
CBC_1149,novelty,Novelty_uniform_-55_-30_14_roi.mat,AV,left,planum temporale,10,0.115751434412427
CBC_1001,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.178961608075356
CBC_1002,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0918588968756642
CBC_1003,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.132741182780967
CBC_1005,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.0535578564338763
CBC_1006,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0365207098553939
CBC_1007,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.322298303611146
CBC_1013,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.759283727924086
CBC_1014,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.112676560490722
CBC_1015,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.156095210050879
CBC_1016,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.0170841369050111
CBC_1017,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.474699797154363
CBC_1019,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.126595140270474
CBC_1020,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.490553214889937
CBC_1024,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.608882459460076
CBC_1027,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.532095070344416
CBC_1029,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.141554355714762
CBC_1032,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.044417059719561
CBC_1033,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.327128630050233
CBC_1036,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.33580128230863
CBC_1037,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.265463016418113
CBC_1039,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.690444774241669
CBC_1040,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.119467689559664
CBC_1046,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0866362894863197
CBC_1047,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.235583878414432
CBC_1049,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.263183504360738
CBC_1051,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.207467066561108
CBC_1055,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.262666921989534
CBC_1056,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.687319917666421
CBC_1057,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.379599239703444
CBC_1058,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.176927688238542
CBC_1062,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.749578962762141
CBC_1063,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.393094951028653
CBC_1065,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.878633325393928
CBC_1069,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.17272824924558
CBC_1072,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.211823609877908
CBC_1074,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.214362252445603
CBC_1075,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0742535453214288
CBC_1077,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.321521661336323
CBC_1080,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0172052390296844
CBC_1083,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.165859171701629
CBC_1084,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.133713268426352
CBC_1086,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.117590579595868
CBC_1095,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.698994791903446
CBC_1098,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-1.04102330016341
CBC_1101,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.321550423900099
CBC_1102,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.357132666865843
CBC_1104,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.361768203474457
CBC_1105,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.402398852190475
CBC_1106,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.351667839765005
CBC_1107,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0492232589496093
CBC_1109,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.0624929813878383
CBC_1116,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.367667227661803
CBC_1133,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.646993210966713
CBC_1142,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.344634983802504
CBC_1143,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,-0.262634275505306
CBC_1144,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.355811821085184
CBC_1149,novelty,Novelty_uniform_-55_-30_14_roi.mat,TV,left,planum temporale,10,0.293702936818139
