ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.752384092017518
CBC_P005,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.0457167643500954
CBC_P006,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.841169234301292
CBC_P007,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.088139270328141
CBC_P009,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.622347580168534
CBC_P010,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.577674466703685
CBC_P013,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.208539373244784
CBC_P014,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.144152694999143
CBC_P015,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.277905074566497
CBC_P016,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.174738352661194
CBC_P017,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.462090179815094
CBC_P018,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.0237798088923716
CBC_P019,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.180500910942776
CBC_P020,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.502943146507691
CBC_P022,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.342522921393131
CBC_P026,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.134590441145501
CBC_P027,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.436317181136337
CBC_P029,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.256589656300213
CBC_P030,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.288358453186921
CBC_P031,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.606811346527902
CBC_P034,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.0643094273413083
CBC_P035,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.265063360944203
CBC_P036,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.16007113916383
CBC_P037,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.131680642491453
CBC_P038,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.180342944734357
CBC_P039,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.68657946124007
CBC_P040,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.467585014382685
CBC_P041,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.485420579290336
CBC_P004,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,-0.238583621532115
CBC_P005,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,-0.775372941707027
CBC_P006,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,0.0531316273855076
CBC_P007,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,-0.663181557510626
CBC_P009,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,-0.185176218505209
CBC_P010,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,-0.158976411578804
CBC_P013,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,0.516495874033955
CBC_P014,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,-0.202097971541477
CBC_P015,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,0.37563479560148
CBC_P016,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,-0.231130826912647
CBC_P017,novelty,Novelty_uniform_0_-33_26_roi.mat,TV,bilateral,posterio cingulate gyrus,11,0.185278253279733
