ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.823730672577063
CBC_1002,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.271558142539636
CBC_1003,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.172750259219413
CBC_1005,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.619777817057446
CBC_1006,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.653652986510698
CBC_1007,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.305450196824033
CBC_1013,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.335814359682858
CBC_1014,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.064478712137815
CBC_1015,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.271547724292015
CBC_1016,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.953719571512581
CBC_1017,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.666891445876226
CBC_1019,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.580309465708207
CBC_1020,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.576299633387338
CBC_1024,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.0164785029482473
CBC_1027,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.579394210391652
CBC_1029,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.00930370328865782
CBC_1032,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.515702792741118
CBC_1033,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.446781712094954
CBC_1036,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.062478450891188
CBC_1037,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.510946294443049
CBC_1039,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-1.50550740608376
CBC_1040,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.86010081052373
CBC_1046,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-1.24362591141087
CBC_1047,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.161801689488284
CBC_1049,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-1.51671960321003
CBC_1051,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.623467399600532
CBC_1055,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-1.05132981431057
CBC_1056,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.500390539034358
CBC_1057,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.963610755278815
CBC_1058,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.576292166050467
CBC_1062,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.829731823262212
CBC_1063,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.435856424363147
CBC_1065,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.988957169958006
CBC_1069,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.447271609714374
CBC_1072,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.773373157872012
CBC_1074,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.820776972156799
CBC_1075,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.515376640481313
CBC_1077,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.849988568364295
CBC_1080,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.0883266435472097
CBC_1083,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.0209458121115768
CBC_1084,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.135756265236975
CBC_1086,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.0556224910430641
CBC_1095,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,0.931466856234765
CBC_1098,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.201367412736053
CBC_1101,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.0855564605397114
CBC_1102,novelty,Novelty_uniform_0_-33_26_roi.mat,AV,bilateral,posterio cingulate gyrus,11,-0.11256893192228
