ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.6648062792495
CBC_P005,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0709472518149008
CBC_P006,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.465953334462735
CBC_P007,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.235692520556959
CBC_P009,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.183319665449511
CBC_P010,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.180378973533595
CBC_P013,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.329859448313182
CBC_P014,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.348681210943321
CBC_P015,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0600478236387232
CBC_P016,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.423171231817106
CBC_P017,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.0301730665702222
CBC_P018,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.0795882467515025
CBC_P019,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.563835231455325
CBC_P020,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.46341273309098
CBC_P022,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.243673219275414
CBC_P026,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.86603511671778
CBC_P027,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.013917343004989
CBC_P029,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.163006710814702
CBC_P030,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.332518682662303
CBC_P031,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,1.12753317193734
CBC_P034,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.410644207812966
CBC_P035,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.194242872725588
CBC_P036,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.640618992210682
CBC_P037,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.115481458191714
CBC_P038,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.229722998302157
CBC_P039,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0061094808193745
CBC_P040,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.500930785203092
CBC_P041,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.202202989723416
CBC_P004,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.103362986647479
CBC_P005,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.521933176369188
CBC_P006,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.0889990939497558
CBC_P007,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.617184345042961
CBC_P009,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.0112966376566455
CBC_P010,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.394480547550614
CBC_P013,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.200653718401535
CBC_P014,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0588912160610118
CBC_P015,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0338608366329005
CBC_P016,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.0919817653236792
CBC_P017,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.577182582687653
CBC_P018,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.784351849559987
CBC_P019,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.14779780418978
CBC_P020,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0355763230395194
CBC_P022,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.189348094649263
CBC_P026,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.203333303815775
CBC_P027,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.523919987460766
CBC_P029,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.323936191111318
CBC_P030,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.185751932083477
CBC_P031,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-1.05413037684016
CBC_P034,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.259765190915185
CBC_P035,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.255547325354554
CBC_P036,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.307826396617103
CBC_P037,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.240540224893095
CBC_P038,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.214995089972622
CBC_P039,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0280870022773367
CBC_P040,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.328238267771432
CBC_P041,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.290398789313835
