ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0618791581878464
CBC_1002,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.857136315754225
CBC_1003,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.0851348795322093
CBC_1005,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.089249222652085
CBC_1006,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.25572230809841
CBC_1007,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.0574266258014874
CBC_1013,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.343589994661616
CBC_1014,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.372587653263623
CBC_1015,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.0526232909891302
CBC_1016,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.323562156572864
CBC_1017,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.143067426413543
CBC_1019,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.139927359054771
CBC_1020,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.125419556357351
CBC_1024,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.457352805599558
CBC_1027,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.124899211004346
CBC_1029,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.246001495933651
CBC_1032,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0271475704675829
CBC_1033,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.306085605445442
CBC_1036,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.129667208299173
CBC_1037,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.147875705456201
CBC_1039,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.486828115661606
CBC_1040,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.102424025297371
CBC_1046,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.420095304080004
CBC_1047,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.421221458964379
CBC_1049,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.395495804312789
CBC_1051,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.647044944668042
CBC_1055,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.11891727621342
CBC_1056,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.284636818498159
CBC_1057,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.214914261092673
CBC_1058,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.2111374550394
CBC_1062,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.395489832111979
CBC_1063,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.36754245171298
CBC_1065,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.775894184145097
CBC_1069,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.36218614410701
CBC_1072,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.267444115326271
CBC_1074,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.0767342676555618
CBC_1075,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0507253162870031
CBC_1077,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0249161796557799
CBC_1080,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.343172735822949
CBC_1083,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.316715353135473
CBC_1084,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.141275694765932
CBC_1086,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.268185262841807
CBC_1095,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.415759385440759
CBC_1098,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.396591071329871
CBC_1101,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.377567839864195
CBC_1102,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.00105444681081154
CBC_1104,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0905283603070411
CBC_1105,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.732245971972676
CBC_1106,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0139389714363762
CBC_1107,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.26123678201334
CBC_1109,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.146767775505709
CBC_1116,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.349116436556773
CBC_1133,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.168972706697824
CBC_1142,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.188298436300395
CBC_1143,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.286030072839856
CBC_1144,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,-0.0335299517764253
CBC_1149,novelty,Novelty_uniform_10_-13_6_roi.mat,AV,right,thalamus,12,0.348185282435907
CBC_1001,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.257830411085767
CBC_1002,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.0937088743869925
CBC_1003,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.0415593689513418
CBC_1005,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.045680918975112
CBC_1006,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.28239244847255
CBC_1007,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0945951452761
CBC_1013,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.228572794451614
CBC_1014,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0681848675051233
CBC_1015,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0140065565153809
CBC_1016,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.151058665876397
CBC_1017,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0272860443143669
CBC_1019,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.253243117292539
CBC_1020,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.0331692145780238
CBC_1024,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.00726764800306734
CBC_1027,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.210644070974897
CBC_1029,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.446067760542103
CBC_1032,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.0270227439240163
CBC_1033,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.317044560182612
CBC_1036,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.0322371138593249
CBC_1037,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.151374974032101
CBC_1039,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,0.110626094263772
CBC_1040,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.171659542228449
CBC_1046,novelty,Novelty_uniform_10_-13_6_roi.mat,TV,right,thalamus,12,-0.428019496034429
