ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.118841348525294
CBC_1002,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.339192284477511
CBC_1003,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.0542151001525296
CBC_1005,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.140410375300236
CBC_1006,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.935866766817175
CBC_1007,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.187179895430297
CBC_1013,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.157162977481432
CBC_1014,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.423984657304846
CBC_1015,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.110466827864656
CBC_1016,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.238367131944987
CBC_1017,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.289224228021237
CBC_1019,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.0186848747133268
CBC_1020,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.0603651793720706
CBC_1024,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.24540103664682
CBC_1027,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.011939060772675
CBC_1029,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.151617592032128
CBC_1032,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.369111905802813
CBC_1033,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.257695596427011
CBC_1036,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.0917061670525565
CBC_1037,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.558364984193668
CBC_1039,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,-0.074801958745893
CBC_1040,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.386104316509203
CBC_1046,novelty,Novelty_uniform_12_10_-0_roi.mat,AV,right,striatum,13,0.334111390925535
