ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.659013982698888
CBC_P005,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.150193704983498
CBC_P006,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.315000134890252
CBC_P007,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.1233888495921
CBC_P009,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.0289602828971305
CBC_P010,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.40055126918807
CBC_P013,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0552413924950315
CBC_P014,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.233625412808573
CBC_P015,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.129529909038598
CBC_P016,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.204701955548848
CBC_P017,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.150972443203265
CBC_P018,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0716714107971936
CBC_P019,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.110735542079772
CBC_P020,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.471503978242167
CBC_P022,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.313667085982538
CBC_P026,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.342183678986891
CBC_P027,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.161845870022965
CBC_P029,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.109708232451192
CBC_P030,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.0587302092233868
CBC_P031,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0455158554833183
CBC_P034,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.689338522319652
CBC_P035,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.455146819032804
CBC_P036,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.153237014808118
CBC_P037,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.143978596600574
CBC_P038,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.124109717285204
CBC_P039,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.635698063045812
CBC_P040,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.119626355487364
CBC_P041,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.31832264468037
CBC_P004,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.480444626427238
CBC_P005,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.256609398716078
CBC_P006,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.138689876224415
CBC_P007,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.539276754571322
CBC_P009,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.624850050858212
CBC_P010,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.0756790584073617
CBC_P013,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.11557985616893
CBC_P014,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.344397969481778
CBC_P015,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.277052503232074
CBC_P016,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.238220093090757
CBC_P017,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.551077800091103
CBC_P018,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.284135958815146
CBC_P019,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.0564391556766299
CBC_P020,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.090682592782322
CBC_P022,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.342936785970915
CBC_P026,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.0939499731316937
CBC_P027,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.277149503173932
CBC_P029,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.280900182955334
CBC_P030,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.585706378691068
CBC_P031,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.829886074040989
CBC_P034,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.156651603128983
CBC_P035,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.32495231783109
CBC_P036,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.298386465270263
CBC_P037,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.370900623787559
CBC_P038,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,0.00327139738513882
CBC_P039,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.00462597282335461
CBC_P040,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.0307186467842193
CBC_P041,novelty,Novelty_uniform_26_-8_-18_roi.mat,TV,right,amygdala,14,-0.335194286090724
