ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.0674536231966899
CBC_1002,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.49976489072415
CBC_1003,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.020487051322425
CBC_1005,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.132259086597172
CBC_1006,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.0556804360565057
CBC_1007,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.377017579680994
CBC_1013,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.359632279837004
CBC_1014,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0385160118717745
CBC_1015,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0573933672069497
CBC_1016,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.302764248147425
CBC_1017,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,1.43285375643242
CBC_1019,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.14669740618659
CBC_1020,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0955453409535011
CBC_1024,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.261103268056806
CBC_1027,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0263259775670301
CBC_1029,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0290554293722535
CBC_1032,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.050302819511052
CBC_1033,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.600417892089599
CBC_1036,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.284722204922128
CBC_1037,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0451351886933673
CBC_1039,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,1.04681624028501
CBC_1040,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0473758565547061
CBC_1046,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.159027384592804
CBC_1047,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.79648439804185
CBC_1049,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.333589057400385
CBC_1051,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0943268705494179
CBC_1055,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.200840272976122
CBC_1056,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.290122857379986
CBC_1057,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.494059339165178
CBC_1058,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.220035499764422
CBC_1062,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.335980071604588
CBC_1063,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.456031866636107
CBC_1065,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.0091544771448782
CBC_1069,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.770309735251277
CBC_1072,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.692255401310734
CBC_1074,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.158988488798414
CBC_1075,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0248721963826777
CBC_1077,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.590849298708725
CBC_1080,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.113254850227147
CBC_1083,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0303699274982921
CBC_1084,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0556080345941189
CBC_1086,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.498622519830548
CBC_1095,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.389630857492939
CBC_1098,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.301134764910358
CBC_1101,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.716510619525352
CBC_1102,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.91753337159656
CBC_1104,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.178250703682246
CBC_1105,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,-0.986992025432878
CBC_1106,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.0602410019420625
CBC_1107,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.253687454681066
CBC_1109,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.555182103163906
CBC_1116,novelty,Novelty_uniform_26_-8_-18_roi.mat,AV,right,amygdala,14,0.237399486767745
