ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.340065962942903
CBC_P005,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.175988009610946
CBC_P006,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.485033162554342
CBC_P007,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-1.31833639142557
CBC_P009,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.580078779242994
CBC_P010,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.486166664796145
CBC_P013,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.212325107548321
CBC_P014,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.20809196579182
CBC_P015,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.0753668600557094
CBC_P016,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.664114160815552
CBC_P017,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.337435257144386
CBC_P018,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.366119325087508
CBC_P019,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.0950322106551039
CBC_P020,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.0892899307315592
CBC_P022,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.404819280650297
CBC_P026,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.569401781528191
CBC_P027,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.320630527104826
CBC_P029,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.59512547871781
CBC_P030,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.161544225778227
