ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.0820474127667284
CBC_1002,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.478303794355072
CBC_1003,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.638054406770709
CBC_1005,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.346496667565774
CBC_1006,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.229622399210032
CBC_1007,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.355058758457934
CBC_1013,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.121515722564182
CBC_1014,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.0676734539607028
CBC_1015,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.209017345080252
CBC_1016,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.260385823213743
CBC_1017,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.289673629437579
CBC_1019,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.581294639247477
CBC_1020,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,-0.141072400446829
CBC_1024,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.864462900576854
CBC_1027,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.0915876825002318
CBC_1029,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.473486484114485
CBC_1032,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.594957238454109
CBC_1033,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.0847171950976155
CBC_1036,novelty,Novelty_uniform_28_-64_47_roi.mat,AV,right,superior parietal lobe,15,0.24813510431528
