ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.262081364369978
CBC_P005,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.216901420030922
CBC_P006,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.108524912880809
CBC_P007,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.457652029407359
CBC_P009,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.00711500092387761
CBC_P010,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.274334090778752
CBC_P013,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.153701714668899
CBC_P014,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.721532296201195
CBC_P015,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.0436080898537895
CBC_P016,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.274714977314096
CBC_P017,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.27654625165324
CBC_P018,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.165063505513654
CBC_P019,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.248795616380084
CBC_P020,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.157425629377627
CBC_P022,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.648348279794304
CBC_P026,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.321743951437677
CBC_P027,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-1.08266312250718
CBC_P029,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.351661625919572
CBC_P030,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.131826079918233
CBC_P031,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.610725992393356
CBC_P034,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.648914313000316
CBC_P035,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.264081920024043
CBC_P036,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.131388552631529
CBC_P037,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.345324552050529
CBC_P038,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.389715862574377
CBC_P039,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.0357892956054053
CBC_P040,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.170492543389537
CBC_P041,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.0404067033455773
CBC_P004,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.558425279982334
CBC_P005,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.468454985543913
CBC_P006,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.0982928515651196
CBC_P007,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.151335661443689
CBC_P009,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.129107717269495
CBC_P010,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.0375118684491103
CBC_P013,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.142866291347195
CBC_P014,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.218767907713031
CBC_P015,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.264156831626877
CBC_P016,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.946499039201623
CBC_P017,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.316022239595458
CBC_P018,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.76922532253451
CBC_P019,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.163675267924283
CBC_P020,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.0708311635314778
CBC_P022,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.359345269623242
CBC_P026,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.27856922345068
CBC_P027,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.32096102994112
CBC_P029,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.24715913085037
CBC_P030,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.0785920880677082
CBC_P031,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.597225435862704
CBC_P034,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.351905270839025
CBC_P035,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.0460581119879766
CBC_P036,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.566827929966988
CBC_P037,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.34930836028658
CBC_P038,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.0898702091506145
CBC_P039,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.283796260197207
CBC_P040,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.083916302966081
CBC_P041,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.0710487053848272
