ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.240085784617649
CBC_1002,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.166626942226273
CBC_1003,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.164077722585273
CBC_1005,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.31740138919173
CBC_1006,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.705358309500983
CBC_1007,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.924598592019494
CBC_1013,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.301212008758768
CBC_1014,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.371759112714104
CBC_1015,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.424913100393074
CBC_1016,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.489494710393583
CBC_1017,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.196793758204651
CBC_1019,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.53882132895943
CBC_1020,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.385262757981079
CBC_1024,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.150271287447182
CBC_1027,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.0837550377491618
CBC_1029,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.0463687187805244
CBC_1032,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.784092278523633
CBC_1033,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.0222671491393873
CBC_1036,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.0777912308554354
CBC_1037,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.206691578072428
CBC_1039,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.154594712560583
CBC_1040,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.522380084902535
CBC_1046,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.620347371721809
CBC_1047,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.0277361511050178
CBC_1049,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.28992341725708
CBC_1051,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.100633963427925
CBC_1055,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.251492647458553
CBC_1056,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.437146462201368
CBC_1057,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.291295515691117
CBC_1058,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.357502960608846
CBC_1062,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.456757778855287
CBC_1063,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.465359546358923
CBC_1065,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.0396747741541633
CBC_1069,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.636123568164405
CBC_1072,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.142029981097846
CBC_1074,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.0683456095414584
CBC_1075,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.141825682755325
CBC_1077,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.0562259271522859
CBC_1080,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.358429439196149
CBC_1083,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.314473198365002
CBC_1084,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.472951393577554
CBC_1086,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.254487971520858
CBC_1095,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.151408258650326
CBC_1098,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.748313553127074
CBC_1101,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.194248711008806
CBC_1102,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.409879474473764
CBC_1104,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.519059964905168
CBC_1105,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.327225942221504
CBC_1106,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.312955562952469
CBC_1107,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.099330903247981
CBC_1109,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.258122460937108
CBC_1116,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.446045793856832
CBC_1133,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.500330284015182
CBC_1142,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.151469276630058
CBC_1143,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,0.250571033629274
CBC_1144,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.0348565483106531
CBC_1149,novelty,Novelty_uniform_32_-43_-16_roi.mat,AV,right,fusiform gyrus,16,-0.198267404236764
CBC_1001,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.197582742895916
CBC_1002,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.264414994281238
CBC_1003,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.517274957529124
CBC_1005,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.348592184063596
CBC_1006,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.384228246213997
CBC_1007,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-1.06836716606726
CBC_1013,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.267479412223287
CBC_1014,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.169019430891033
CBC_1015,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.832737434743162
CBC_1016,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.916543511746576
CBC_1017,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.245254616484625
CBC_1019,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.308241252223826
CBC_1020,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.455132102807713
CBC_1024,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.12622473503845
CBC_1027,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.160428798097178
CBC_1029,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.281984497319057
CBC_1032,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.591796874020416
CBC_1033,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.083087941947116
CBC_1036,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.230268327705106
CBC_1037,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.216383571395977
CBC_1039,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.201642899572079
CBC_1040,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.291552597220886
CBC_1046,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.232586829523949
CBC_1047,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.105923612277747
CBC_1049,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.0706211346039876
CBC_1051,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.0271308974654105
CBC_1055,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.331974814198941
CBC_1056,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.246631640804978
CBC_1057,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.165330149602307
CBC_1058,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.998862677662505
CBC_1062,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.093375547032716
CBC_1063,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.277634970420648
CBC_1065,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.565048617771099
CBC_1069,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.368919784814415
CBC_1072,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.595846673852015
CBC_1074,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.176369606719742
CBC_1075,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.0150192088947299
CBC_1077,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.374607404516693
CBC_1080,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.784569810537555
CBC_1083,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.180175056683702
CBC_1084,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.0454244489094311
CBC_1086,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.694238063003342
CBC_1095,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.220502790884143
CBC_1098,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,0.195430424629422
CBC_1101,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.775559657107326
CBC_1102,novelty,Novelty_uniform_32_-43_-16_roi.mat,TV,right,fusiform gyrus,16,-0.515120855070169
