ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.171036531443522
CBC_P005,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.113670281219898
CBC_P006,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.413125679832879
CBC_P007,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.00224780254238345
CBC_P009,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.168161481530186
CBC_P010,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.0291368071859369
CBC_P013,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.658689416990953
CBC_P014,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.408216250844926
CBC_P015,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.0183859663140986
CBC_P016,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.0948379451802387
CBC_P017,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.466278544662504
CBC_P018,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.27912023137266
CBC_P019,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.0122242401803486
CBC_P020,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.226344537744128
CBC_P022,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.421789508115608
CBC_P026,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.985412589157616
CBC_P027,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-1.0980849091217
CBC_P029,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.52167849734378
CBC_P030,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.2978296620683
CBC_P031,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.0877943671870591
CBC_P034,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.119410638595428
CBC_P035,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.0259350804538452
CBC_P036,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.424623009240535
CBC_P037,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.27751803213227
CBC_P038,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.6069872420748
CBC_P039,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.600182212258919
CBC_P040,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.506106174660215
CBC_P041,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.127206425516307
CBC_P004,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,0.181868841932909
CBC_P005,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,-0.0653660622346663
CBC_P006,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,0.040329013075894
CBC_P007,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,-0.113341888552828
CBC_P009,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,-0.132051021598826
CBC_P010,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,0.454290281387408
