ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.218818668682335
CBC_1002,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.329404154884673
CBC_1003,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.160803342956819
CBC_1005,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.041345266831615
CBC_1006,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.834535109429344
CBC_1007,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.604743218106215
CBC_1013,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.325292226652551
CBC_1014,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.613984386109614
CBC_1015,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.300061508010888
CBC_1016,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.0636168754730936
CBC_1017,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.293357127877618
CBC_1019,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.0789976076245827
CBC_1020,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.286036011625364
CBC_1024,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.202867006151098
CBC_1027,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.58038787693059
CBC_1029,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.142850335625662
CBC_1032,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.44699526562748
CBC_1033,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.227315412947106
CBC_1036,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.0841228032386166
CBC_1037,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.392859532313773
CBC_1039,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.57093008680515
CBC_1040,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.0645341023028351
CBC_1046,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.292139963258655
CBC_1047,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.389243422219472
CBC_1049,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.96530962227952
CBC_1051,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.675982949749923
CBC_1055,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,1.0989905681708
CBC_1056,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.418174034149032
CBC_1057,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,1.41778460476213
CBC_1058,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.123390334697486
CBC_1062,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.478403762678779
CBC_1063,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.186256468767909
CBC_1065,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.164028716224691
CBC_1069,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.138332419411926
CBC_1072,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.012275256347738
CBC_1074,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.601577460273823
CBC_1075,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.304360736637213
CBC_1077,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.581656610334881
CBC_1080,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.068226307457208
CBC_1083,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.238007383656021
CBC_1084,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.00666402192777122
CBC_1086,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.0870587489108339
CBC_1095,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.586935120913281
CBC_1098,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.0557354061768553
CBC_1101,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.496555022454377
CBC_1102,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.710645494436185
CBC_1104,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,1.3735315481429
CBC_1105,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-1.01233786124646
CBC_1106,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.119908543137541
CBC_1107,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.246679909818623
CBC_1109,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.133315287143852
CBC_1116,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.665258443535713
CBC_1133,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.280976158500447
CBC_1142,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.246463108638499
CBC_1143,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.153373437469064
CBC_1144,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,-0.451948391458213
CBC_1149,novelty,Novelty_uniform_38_21_-2_roi.mat,AV,right,anterior insula,17,0.801742484478515
CBC_1001,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,0.292638926953403
CBC_1002,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,-0.0220397840026729
CBC_1003,novelty,Novelty_uniform_38_21_-2_roi.mat,TV,right,anterior insula,17,0.270136500117448
