ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.295659584747587
CBC_1002,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.102499380482181
CBC_1003,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.184995539781836
CBC_1005,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.272370982868275
CBC_1006,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.240151374683764
CBC_1007,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.437524742461856
CBC_1013,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.154013217323892
CBC_1014,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.265067142638744
CBC_1015,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.142307328007162
CBC_1016,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.475875063240702
CBC_1017,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.709704859375793
CBC_1019,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.299443803634027
CBC_1020,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.126817968893463
CBC_1024,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.665142918073182
CBC_1027,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.201878611550206
CBC_1029,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.175369705041291
CBC_1032,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.447771016031591
CBC_1033,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.160827827607668
CBC_1036,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.0214974161716352
CBC_1037,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.567490440737124
CBC_1039,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.48268777327945
CBC_1040,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.494519591287693
CBC_1046,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.759001905463163
CBC_1047,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.0798397725726416
CBC_1049,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.164699896076828
CBC_1051,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.593929182320227
CBC_1055,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.168929325251417
CBC_1056,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.166190121178303
CBC_1057,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.344636081375292
CBC_1058,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.12458827997953
CBC_1062,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.0527030523771589
CBC_1063,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.0951854959335245
CBC_1065,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.504889959412255
CBC_1069,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.0815462747517075
CBC_1072,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.0910234830452787
CBC_1074,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,0.18275468802539
CBC_1075,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.235010117401627
CBC_1077,novelty,Novelty_uniform_3_12_49_roi.mat,AV,right,supplementary motor cortex,18,-0.140308577927764
