ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0850956004969419
CBC_P005,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.291086579609071
CBC_P006,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.00827057301102718
CBC_P007,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0319266698402933
CBC_P009,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0343081186894162
CBC_P010,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.167413566030199
CBC_P013,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.596306712861371
CBC_P014,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.0125572843278479
CBC_P015,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.364948038748951
CBC_P016,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.00968350270487519
CBC_P017,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.530292719629065
CBC_P018,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.525303737205815
CBC_P019,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.450667544143429
CBC_P020,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.0169921948562722
CBC_P022,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.141626407406747
CBC_P026,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-1.01334780818887
CBC_P027,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.304041008339769
CBC_P029,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.128760430356908
CBC_P030,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.745094663606274
CBC_P031,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.623045062433546
CBC_P034,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0181056101958634
CBC_P035,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.0377879872194315
CBC_P036,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.213281838284481
CBC_P037,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.303385929160691
CBC_P038,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.922198768833521
CBC_P039,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.894822285673796
CBC_P040,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.381190569661116
CBC_P041,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.858200285376288
CBC_P004,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.0317800569224449
CBC_P005,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.0449862114566777
CBC_P006,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.385823620269473
CBC_P007,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.280020539793835
CBC_P009,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.515824979726661
CBC_P010,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.579267777187395
CBC_P013,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.137893794909551
CBC_P014,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.353514575765135
CBC_P015,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.0915624804975437
CBC_P016,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.146979256050148
CBC_P017,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.416810759542703
CBC_P018,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,1.64439503505269
CBC_P019,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.857466322967297
CBC_P020,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.171843516371244
CBC_P022,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.0956419255724223
CBC_P026,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.180362265438796
CBC_P027,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.390954334364435
CBC_P029,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.0256467360468298
CBC_P030,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.0771157640427269
CBC_P031,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.0992614715312712
CBC_P034,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.323496816831834
CBC_P035,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.271734676121212
CBC_P036,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.453789833553206
CBC_P037,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.0175506951198425
CBC_P038,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.10142377323075
CBC_P039,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.656832763987751
