ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.000268615312447357
CBC_1002,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.0861446352030488
CBC_1003,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.42914630272833
CBC_1005,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.198404733997543
CBC_1006,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.760007739379209
CBC_1007,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.137863649737441
CBC_1013,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.0863862111967171
CBC_1014,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.0850648962000958
CBC_1015,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.3059024039276
CBC_1016,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.205280243184929
CBC_1017,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.671952144508541
CBC_1019,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.164904959806706
CBC_1020,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.328771480263412
CBC_1024,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.198348577447871
CBC_1027,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.479970866652502
CBC_1029,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.127899421326779
CBC_1032,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,1.21400208092193
CBC_1033,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.236949675355169
CBC_1036,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.308307042709086
CBC_1037,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0536935528187521
CBC_1039,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.201851232856606
CBC_1040,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0183167592531354
CBC_1046,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.304791635188575
CBC_1047,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.125759235467827
CBC_1049,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0139380727297514
CBC_1051,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.151420095701581
CBC_1055,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.843334246362411
CBC_1056,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.272897176856314
CBC_1057,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.114981632070127
CBC_1058,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.832941103950548
CBC_1062,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.44320644787682
CBC_1063,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.242681201252691
CBC_1065,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.207248340870323
CBC_1069,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.0769323621207444
CBC_1072,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.165237975306134
CBC_1074,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.56898901273556
CBC_1075,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.195155036955553
CBC_1077,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.209879753188444
CBC_1080,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.183206969919958
CBC_1083,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.201380922491542
CBC_1084,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.269985820652463
CBC_1086,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.453154168431276
CBC_1095,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0618214908069956
CBC_1098,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.454205684977183
CBC_1101,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.773319191643591
CBC_1102,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.296430071022609
CBC_1104,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.643102191470773
CBC_1105,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.308677155770181
CBC_1106,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.341873272596498
CBC_1107,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.514832875365319
CBC_1109,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.125538874031695
CBC_1116,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.319348452781336
CBC_1133,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.656019443630657
CBC_1142,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,-0.251417455047693
CBC_1143,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.296497139238926
CBC_1144,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,0.0156095839139443
CBC_1149,novelty,Novelty_uniform_50_16_24_roi.mat,AV,right,middle frontal gyrus,19,1.1404404699939
CBC_1001,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,0.259229389765409
CBC_1002,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.368170651423868
CBC_1003,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.726538856603154
CBC_1005,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.173261924431172
CBC_1006,novelty,Novelty_uniform_50_16_24_roi.mat,TV,right,middle frontal gyrus,19,-0.535232506109922
