ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.305938117791354
CBC_P005,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.0076868188236045
CBC_P006,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0581563905874838
CBC_P007,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.337662003151397
CBC_P009,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.106058169557886
CBC_P010,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.071532851275783
CBC_P013,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.341570493199741
CBC_P014,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0723308435336837
CBC_P015,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.258963856752844
CBC_P016,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.109533858730404
CBC_P017,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.000749742211481519
CBC_P018,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0412485675070776
CBC_P019,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.557691676274288
CBC_P020,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.172032950292043
CBC_P022,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.383999896839693
CBC_P026,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.596025385976458
CBC_P027,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.450768866907346
CBC_P029,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.465287415382697
CBC_P030,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.00455746756489767
