ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.110281125958102
CBC_1002,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.245687475246416
CBC_1003,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.0975004152149523
CBC_1005,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.00883062976745845
CBC_1006,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.308663707755526
CBC_1007,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.217064368326007
CBC_1013,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0227720623079364
CBC_1014,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.117927598112125
CBC_1015,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.226720380439759
CBC_1016,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.0691566158018295
CBC_1017,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0323088565005651
CBC_1019,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0670658529902222
CBC_1020,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.101168332760165
CBC_1024,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.147455985983024
CBC_1027,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.155124775337169
CBC_1029,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.19945349014681
CBC_1032,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.220845702173083
CBC_1033,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.020989452980188
CBC_1036,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.0532427347110601
CBC_1037,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.143412760788269
CBC_1039,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.419834771415098
CBC_1040,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.14275261458701
CBC_1046,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0935710720629939
CBC_1047,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0558518783974867
CBC_1049,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.527026241495873
CBC_1051,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.140852502509639
CBC_1055,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.562902684175276
CBC_1056,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.334370534138963
CBC_1057,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0958426624680834
CBC_1058,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.303709214060553
CBC_1062,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.437938813409813
CBC_1063,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.389187741155187
CBC_1065,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.856133528128892
CBC_1069,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.3716487188102
CBC_1072,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.197510662875016
CBC_1074,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.134021169752417
CBC_1075,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.235394248695376
CBC_1077,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.126126269146341
CBC_1080,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.165429682881566
CBC_1083,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.0846898105406259
CBC_1084,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.1556042208682
CBC_1086,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.346439845641893
CBC_1095,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.00282847730861528
CBC_1098,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.477688090380475
CBC_1101,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.272762978679058
CBC_1102,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.0717220141680234
CBC_1104,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.663546148833051
CBC_1105,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.615936906202187
CBC_1106,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.534468291264447
CBC_1107,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.296795890054884
CBC_1109,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0213068156266606
CBC_1116,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.00657045950311731
CBC_1133,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.0730796998589552
CBC_1142,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0305750392421121
CBC_1143,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.061344740435913
CBC_1144,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,-0.0104505848345656
CBC_1149,novelty,Novelty_uniform_-11_-5_4_roi.mat,AV,left,thalamus,1,0.461288927921817
CBC_1001,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.145123502080662
CBC_1002,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.0657602662873611
CBC_1003,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.0242433424928628
CBC_1005,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.0759644652775195
CBC_1006,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.097259828633953
CBC_1007,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.302371185342729
CBC_1013,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.131870038424197
CBC_1014,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.185320783680277
CBC_1015,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.0874098843131548
CBC_1016,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.358644649283639
CBC_1017,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.0709157069263467
CBC_1019,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.278541632742011
CBC_1020,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.189334896809186
CBC_1024,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.206525636566318
CBC_1027,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.0881861763322815
CBC_1029,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.274967937057729
CBC_1032,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.100284093239075
CBC_1033,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.0928277339417862
CBC_1036,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.584903287488773
CBC_1037,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.191458132418362
CBC_1039,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.0477576374809703
CBC_1040,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.11131158538188
CBC_1046,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.629070884710227
CBC_1047,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.0416279020939005
CBC_1049,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.209899036321495
CBC_1051,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.181600977668092
CBC_1055,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,0.291129936630858
CBC_1056,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.134385239716913
CBC_1057,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.271853873823661
CBC_1058,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.0676748577481403
CBC_1062,novelty,Novelty_uniform_-11_-5_4_roi.mat,TV,left,thalamus,1,-0.112003830346145
