ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.131670007491839
CBC_1002,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0609393545285638
CBC_1003,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.533930904006417
CBC_1005,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.791231806740228
CBC_1006,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.837723758714904
CBC_1007,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.196481009162711
CBC_1013,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.444130334931311
CBC_1014,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.301744586083619
CBC_1015,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.948416280884653
CBC_1016,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.43164045200222
CBC_1017,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,1.27504018114783
CBC_1019,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0469132562841275
CBC_1020,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.333296149071837
CBC_1024,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.311124077448438
CBC_1027,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.202997462111026
CBC_1029,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.383995216013834
CBC_1032,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.0227928653052093
CBC_1033,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.101627206384616
CBC_1036,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.113985935035965
CBC_1037,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.151646867619236
CBC_1039,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.737770235920986
CBC_1040,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.723362759402172
CBC_1046,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.391592625136959
CBC_1047,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,1.43682365181739
CBC_1049,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.841492896528362
CBC_1051,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.0357424316209153
CBC_1055,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.289137950230234
CBC_1056,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.20805966138499
CBC_1057,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.0249491042730618
CBC_1058,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0213649272146636
CBC_1062,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.438337033407929
CBC_1063,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.0309589229262883
CBC_1065,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.224148500622423
CBC_1069,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.157736611259298
CBC_1072,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.102582155973935
CBC_1074,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.593525459899162
CBC_1075,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.201591178459601
CBC_1077,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0838582359991461
CBC_1080,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.127344295286064
CBC_1083,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.171160988617478
CBC_1084,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.0703132961715128
CBC_1086,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.349450999330593
CBC_1095,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.723847139699846
CBC_1098,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.512574740627337
CBC_1101,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,1.01423363221275
CBC_1102,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0897279368491497
CBC_1104,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.0420750004841046
CBC_1105,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0670417637564792
CBC_1106,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.229102035492524
CBC_1107,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.112747702759295
CBC_1109,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.175950880422098
CBC_1116,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.198395856204347
CBC_1133,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.934954454887583
CBC_1142,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.110879923929428
CBC_1143,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.48526777814874
CBC_1144,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.00173332779470876
CBC_1149,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.269262349869347
CBC_1001,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,0.264988219271654
CBC_1002,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.0419260083198214
CBC_1003,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.653282036556446
CBC_1005,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.522927271463022
CBC_1006,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.880384593270842
CBC_1007,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.216789551242671
CBC_1013,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.34129675587914
CBC_1014,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.602096879428806
CBC_1015,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,0.696540007052242
CBC_1016,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,0.189667916575591
