ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-1.12263474939712
CBC_P005,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.249478368074323
CBC_P006,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.27860865206537
CBC_P007,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0169494193956929
CBC_P009,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0418931951719138
CBC_P010,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.580332098497002
CBC_P013,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.734228246467169
CBC_P014,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.39406825107766
CBC_P015,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.602696900067868
CBC_P016,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.053774936806184
CBC_P017,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.327918046429664
CBC_P018,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.0340668864912327
CBC_P019,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0391155614416818
CBC_P020,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.553291407820514
CBC_P022,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.0346158472817649
CBC_P026,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.824481434239713
CBC_P027,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-1.03052002494124
CBC_P029,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.658521811880683
CBC_P030,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.181596713474442
CBC_P031,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,1.18670554272544
CBC_P034,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.887971540940186
CBC_P035,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.507229960606087
CBC_P036,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.0126089689427593
CBC_P037,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.170844252658232
CBC_P038,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.858157980191063
CBC_P039,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.306745645084069
CBC_P040,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,-0.407867278251788
CBC_P041,novelty,Novelty_uniform_50_36_7_roi.mat,AV,right,"IFG, triangular",20,0.822077498507956
CBC_P004,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,0.0273604424012088
CBC_P005,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.0548923821042164
CBC_P006,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.140971934592262
CBC_P007,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.421741861859042
CBC_P009,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,0.204089392615357
CBC_P010,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,0.280534658342431
CBC_P013,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.328515820552389
CBC_P014,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.333584442209327
CBC_P015,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,0.521877449125041
CBC_P016,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.339817482451244
CBC_P017,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.0754082146940886
CBC_P018,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,1.4965933073751
CBC_P019,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.150324449300351
CBC_P020,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.414158617243752
CBC_P022,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.348755664707963
CBC_P026,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.201985844529047
CBC_P027,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.227499027558742
CBC_P029,novelty,Novelty_uniform_50_36_7_roi.mat,TV,right,"IFG, triangular",20,-0.404478395154502
