ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.571305847022221
CBC_P005,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.156289837110785
CBC_P006,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.161876823367691
CBC_P007,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.524251070227676
CBC_P009,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.171898470742224
CBC_P010,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.158006446663655
CBC_P013,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.416721930641393
CBC_P014,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.0167522219037969
CBC_P015,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.651263300187267
CBC_P016,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.117046282265692
CBC_P017,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.679139151815565
CBC_P018,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.188388112102315
CBC_P019,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.490296793321122
CBC_P020,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.429054199501632
CBC_P022,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.584660284814608
CBC_P026,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.278571076689458
CBC_P027,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.244545074425564
CBC_P029,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.584079525462937
CBC_P030,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.412188636430264
CBC_P031,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.870420327069805
CBC_P034,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.301752913681283
CBC_P035,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.0324686813158425
CBC_P036,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.388069762840194
CBC_P037,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.17637381189514
CBC_P038,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.160796070846436
CBC_P039,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.0197153553567805
CBC_P040,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.109560447713242
CBC_P041,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.214745113094884
CBC_P004,novelty,Novelty_uniform_61_-33_20_roi.mat,TV,right,planum temporale,21,0.201378364342183
CBC_P005,novelty,Novelty_uniform_61_-33_20_roi.mat,TV,right,planum temporale,21,-0.10431916790989
CBC_P006,novelty,Novelty_uniform_61_-33_20_roi.mat,TV,right,planum temporale,21,0.437450835946301
CBC_P007,novelty,Novelty_uniform_61_-33_20_roi.mat,TV,right,planum temporale,21,0.112624712423628
CBC_P009,novelty,Novelty_uniform_61_-33_20_roi.mat,TV,right,planum temporale,21,-0.104534403482701
CBC_P010,novelty,Novelty_uniform_61_-33_20_roi.mat,TV,right,planum temporale,21,0.3348733563772
CBC_P013,novelty,Novelty_uniform_61_-33_20_roi.mat,TV,right,planum temporale,21,-0.611824785993174
CBC_P014,novelty,Novelty_uniform_61_-33_20_roi.mat,TV,right,planum temporale,21,0.253803005082325
