ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.118090385749847
CBC_1002,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.408068767434746
CBC_1003,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.416349811484098
CBC_1005,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.162552407773767
CBC_1006,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.0489611309133122
CBC_1007,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.145117543831588
CBC_1013,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.691797208477802
CBC_1014,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.429646735278724
CBC_1015,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.085139994801988
CBC_1016,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.20642571526072
CBC_1017,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.313601408484588
CBC_1019,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.29891180322643
CBC_1020,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.218075439098254
CBC_1024,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.412944027698083
CBC_1027,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.577290232398357
CBC_1029,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.0141164910040253
CBC_1032,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-1.17664400364359
CBC_1033,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.0744132049669276
CBC_1036,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.0857957904528669
CBC_1037,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.0712153659880803
CBC_1039,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.457889128582043
CBC_1040,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.29464834903807
CBC_1046,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.688081847171722
CBC_1047,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.366804999339624
CBC_1049,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.511678022315317
CBC_1051,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.150606924135805
CBC_1055,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.84335718305448
CBC_1056,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.958154514227428
CBC_1057,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.05989438704539
CBC_1058,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.422449997554358
CBC_1062,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.559486273746708
CBC_1063,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.110120134123235
CBC_1065,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.0614835324388455
CBC_1069,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.53360693656911
CBC_1072,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.204018069752463
CBC_1074,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.441784705481914
CBC_1075,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.0282469703299161
CBC_1077,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.282765306809615
CBC_1080,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.0852535767234445
CBC_1083,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.258002039256095
CBC_1084,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.0274907725678841
CBC_1086,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.020555855973617
CBC_1095,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.0109112559402631
CBC_1098,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.199906313573979
CBC_1101,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.693630493521142
CBC_1102,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.292724502483143
CBC_1104,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.26844165888738
CBC_1105,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.36478212818538
CBC_1106,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,0.547419173029023
CBC_1107,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.0619824115738907
CBC_1109,novelty,Novelty_uniform_61_-33_20_roi.mat,AV,right,planum temporale,21,-0.0643441311016825
