ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.13745908902369
CBC_P005,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.264456596715967
CBC_P006,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.528864417767108
CBC_P007,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.0497031006465328
CBC_P009,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.184046434787289
CBC_P010,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.476153452461326
CBC_P013,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.197352630929553
CBC_P014,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.317776655758733
CBC_P015,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.684169835405192
CBC_P016,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.411043336673265
CBC_P017,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.332921186809959
CBC_P018,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.205693761692377
CBC_P019,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.33454977266071
CBC_P020,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.0699739771315356
CBC_P022,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.221101198570833
CBC_P026,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.190224958507377
CBC_P027,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.366799762289619
CBC_P029,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.10823691897114
CBC_P030,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.0532345471010283
CBC_P031,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.352012409268034
CBC_P034,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.690201864209902
CBC_P035,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.193754884553689
CBC_P036,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.0356545037104421
CBC_P037,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.295760246533579
CBC_P038,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.0415927194066498
CBC_P039,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.165075224544082
CBC_P040,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.117014890095268
CBC_P041,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.258739637153086
CBC_P004,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.458878129944496
CBC_P005,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.0791436893195492
CBC_P006,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.282468930432952
CBC_P007,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.889518911695953
CBC_P009,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.766058932786763
CBC_P010,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.209453302998345
CBC_P013,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.0178965655883196
CBC_P014,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.71623955014332
CBC_P015,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.30068855000601
CBC_P016,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0913153073667887
CBC_P017,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.413506875915963
CBC_P018,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0379186551036383
CBC_P019,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.408139607500127
CBC_P020,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0454369739605025
CBC_P022,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0821400334369202
CBC_P026,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.141041133253071
CBC_P027,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.337231489349894
CBC_P029,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.532721443980043
CBC_P030,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.396492228803453
CBC_P031,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.918539807875916
CBC_P034,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.157895671621989
CBC_P035,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.256727190350778
CBC_P036,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.200010144471727
CBC_P037,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.0128094187410639
CBC_P038,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.00720785689787307
CBC_P039,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.465118506598983
CBC_P040,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0968517113384664
CBC_P041,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.00107751674731738
