ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.0297215801151819
CBC_1002,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.392987599122295
CBC_1003,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.172873098547321
CBC_1005,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.54558066634927
CBC_1006,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.728004211718003
CBC_1007,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.148373715377368
CBC_1013,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.5189027874739
CBC_1014,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.332087277132023
CBC_1015,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.100963540079474
CBC_1016,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.38256113850785
CBC_1017,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,1.35703053452944
CBC_1019,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.176805782426067
CBC_1020,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.0802132742554122
CBC_1024,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.2837869625046
CBC_1027,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.1953907997526
CBC_1029,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.160623069716316
CBC_1032,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.647086429970654
CBC_1033,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.365851486732787
CBC_1036,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.26814139872252
CBC_1037,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.257533724408517
CBC_1039,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.654557597375139
CBC_1040,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.0863770597183749
CBC_1046,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.47114057379082
CBC_1047,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.207761001500676
CBC_1049,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.448133088983098
CBC_1051,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.330782611875598
CBC_1055,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.141370295700503
CBC_1056,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.0447216624449177
CBC_1057,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.781264514686619
CBC_1058,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.38241247569682
CBC_1062,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.569186708345967
CBC_1063,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.451716721571124
CBC_1065,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.215566408681774
CBC_1069,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.584763544847786
CBC_1072,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.40484870535174
CBC_1074,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.0576568391739178
CBC_1075,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.350079192909865
CBC_1077,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.532901535460736
CBC_1080,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.0200496082806265
CBC_1083,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.0990814881087818
CBC_1084,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.186782211215042
CBC_1086,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.197244403447178
CBC_1095,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.155318041544272
CBC_1098,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.0918731649913767
CBC_1101,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.494179136429388
CBC_1102,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.373561559524004
CBC_1104,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.0109063142273802
CBC_1105,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.0713468926683267
CBC_1106,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.397574789138772
CBC_1107,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,1.25987482554521
CBC_1109,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.597694922553142
CBC_1116,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.158872836958935
CBC_1133,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.342657899094913
CBC_1142,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.318504078810956
CBC_1143,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.383603952664811
CBC_1144,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,0.15942997335536
CBC_1149,novelty,Novelty_uniform_-23_-6_-20_roi.mat,AV,left,amygdala,2,-0.570025775059221
CBC_1001,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.192426677510139
CBC_1002,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.295177433290164
CBC_1003,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.166276887055801
CBC_1005,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.0147135395848075
CBC_1006,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.182001163637237
CBC_1007,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.676930476538392
CBC_1013,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.167485039462273
CBC_1014,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.08972192171128
CBC_1015,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.527902668638156
CBC_1016,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.368553581299783
CBC_1017,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.331503727066247
CBC_1019,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.192082039328943
CBC_1020,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.24147356977668
CBC_1024,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0131784630437093
CBC_1027,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.499064075269397
CBC_1029,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.135775022746705
CBC_1032,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.376594410212316
CBC_1033,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.569488553396878
CBC_1036,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.410669285026244
CBC_1037,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.929475168941647
CBC_1039,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.421877969816268
CBC_1040,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.369790596658106
CBC_1046,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.686933051605232
CBC_1047,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.4517174309493
CBC_1049,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.904427812827311
CBC_1051,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.634502372363631
CBC_1055,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.280225750621091
CBC_1056,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,1.12086619539568
CBC_1057,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.578015765935937
CBC_1058,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0585365243826981
CBC_1062,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.191593686105676
CBC_1063,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.308969373365318
CBC_1065,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.439977863094292
CBC_1069,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.145876675581808
CBC_1072,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.461680555136701
CBC_1074,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.401876309097005
CBC_1075,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0250470661499531
CBC_1077,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.852334511738864
CBC_1080,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.191687582250551
CBC_1083,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.426116668956399
CBC_1084,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.380112244194538
CBC_1086,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.221433884818644
CBC_1095,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.238219356546912
CBC_1098,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.335249179517595
CBC_1101,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.544390106679568
CBC_1102,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.448399874242867
CBC_1104,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.0704702647673205
CBC_1105,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.312562046309651
CBC_1106,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.520689830968159
CBC_1107,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.34406077898535
CBC_1109,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.240853259431986
CBC_1116,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.683472059669283
CBC_1133,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-1.24564212609913
CBC_1142,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,0.259170848414938
CBC_1143,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.513532496719838
CBC_1144,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.166763968325565
CBC_1149,novelty,Novelty_uniform_-23_-6_-20_roi.mat,TV,left,amygdala,2,-0.0890676780611217
