ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.146336655269338
CBC_P005,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.00220820552740379
CBC_P006,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.176325408979624
CBC_P007,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.0321865724107232
CBC_P009,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.696105094682788
CBC_P010,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.408449989107546
CBC_P013,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.530201747464435
CBC_P014,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.180122268978819
CBC_P015,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-1.04720326927766
CBC_P016,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.326221093194079
CBC_P017,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.0853461771108889
CBC_P018,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.224607983111861
CBC_P019,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.29538094386304
CBC_P020,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.639618591797609
CBC_P022,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-1.65272667391909
CBC_P026,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.170612088523639
CBC_P027,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.936779667838949
CBC_P029,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.380017307222437
CBC_P030,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.275856451790479
CBC_P031,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.268899215276054
CBC_P034,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.68521545738578
CBC_P035,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.290367587756646
CBC_P036,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.145343826316169
CBC_P037,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.376332081350653
CBC_P038,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.0647964440965583
CBC_P039,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.235150935655935
CBC_P040,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.453062284871081
CBC_P041,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.904902724140995
CBC_P004,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.0404462364991556
CBC_P005,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.0676975610258523
CBC_P006,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.17364929407055
CBC_P007,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.706970196067093
CBC_P009,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.223812665518027
CBC_P010,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.459427025223476
CBC_P013,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.460155148427775
CBC_P014,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.0647170140663835
CBC_P015,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.150424861986883
CBC_P016,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.0677411775567291
CBC_P017,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.177690636155994
