ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.147176828445865
CBC_1002,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.0956709250190497
CBC_1003,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.0719283989033935
CBC_1005,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.357092853365727
CBC_1006,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.158157019666779
CBC_1007,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-1.08580801368983
CBC_1013,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.568207042043082
CBC_1014,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.300713468571172
CBC_1015,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.639601179934542
CBC_1016,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.0999194544194504
CBC_1017,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.558942926049916
CBC_1019,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.667648695013354
CBC_1020,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.29765338171201
CBC_1024,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.596289026627584
CBC_1027,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.0884555413537208
CBC_1029,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.0340259415767235
CBC_1032,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.340933445509683
CBC_1033,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.375861811433772
CBC_1036,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.37627828302302
CBC_1037,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.375751844782236
CBC_1039,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.144363755530438
CBC_1040,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.246800289691056
CBC_1046,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.492188105503635
CBC_1047,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.138449153795592
CBC_1049,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.711661382614762
CBC_1051,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.345093127679407
CBC_1055,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.629845297081172
CBC_1056,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.14103998284451
CBC_1057,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.813062162906973
CBC_1058,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.519668542934701
CBC_1062,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.561833175616485
CBC_1063,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.757350507545906
CBC_1065,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.0996385678790584
CBC_1069,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.352748362288347
CBC_1072,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.129480919073517
CBC_1074,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.106125518564786
CBC_1075,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.757933511787942
CBC_1077,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.31922252737092
CBC_1080,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.795294350598849
CBC_1083,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.254506343218434
CBC_1084,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.167881383982965
CBC_1086,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.185310267379365
CBC_1095,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.508292506954568
CBC_1098,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.645548372782291
CBC_1101,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,1.16174173576291
CBC_1102,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.0764261266280745
CBC_1104,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.750451887266067
CBC_1105,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.716399290278378
CBC_1106,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.369340058741726
CBC_1107,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.328322635280675
CBC_1109,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.188445447484962
CBC_1116,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,1.07815663637607
CBC_1133,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.494270161843545
CBC_1142,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.0315762618210694
CBC_1143,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,0.191045483729751
CBC_1144,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.0860852626501612
CBC_1149,novelty,Novelty_uniform_-29_-45_-14_roi.mat,AV,left,fusiform gyrus,3,-0.185388040668684
CBC_1001,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.121607633392025
CBC_1002,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.245718380336749
CBC_1003,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.073273546203577
CBC_1005,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-1.14173859055196
CBC_1006,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.196756839553764
CBC_1007,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-1.7029858601508
CBC_1013,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.835956144169326
CBC_1014,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.628359691978332
CBC_1015,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.6861721152092
CBC_1016,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,0.655750056922861
CBC_1017,novelty,Novelty_uniform_-29_-45_-14_roi.mat,TV,left,fusiform gyrus,3,-0.230691508411142
