ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,1.18536569186214
CBC_P005,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.284775057897062
CBC_P006,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.0632808684766371
CBC_P007,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.0851916990075749
CBC_P009,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.643035298649527
CBC_P010,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.0328482268061148
CBC_P013,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.11636985510635
CBC_P014,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,1.44037053333489
CBC_P015,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,1.18340351257955
CBC_P016,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.477697701082449
CBC_P017,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.3108636736953
CBC_P018,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.310113553226599
CBC_P019,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.796994633475773
CBC_P020,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.555073248936987
CBC_P022,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.960332441541042
CBC_P026,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.127584357362694
CBC_P027,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.617585876232486
CBC_P029,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.147951205268825
CBC_P030,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.0258455957921742
CBC_P031,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.816005713673798
CBC_P034,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.631573577007192
CBC_P035,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.343441009541963
CBC_P036,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.236415239976967
CBC_P037,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.533944788662723
CBC_P038,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.528514832197505
CBC_P039,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.468849891755579
CBC_P040,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.670209045686043
CBC_P041,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.685617539288554
CBC_P004,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.162792484043438
CBC_P005,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.779396976434701
CBC_P006,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.565152493623717
CBC_P007,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,1.036224835237
CBC_P009,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,1.07635218528573
CBC_P010,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.791994239043033
CBC_P013,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.303439856270285
CBC_P014,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-1.57398699233188
CBC_P015,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-0.136086717381389
CBC_P016,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.0198931545519807
CBC_P017,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-0.254245399830238
CBC_P018,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.447425840439099
CBC_P019,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.913712732560676
CBC_P020,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.0519207586266437
CBC_P022,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.348876226679454
CBC_P026,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.322976650268588
CBC_P027,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-1.18951463957131
CBC_P029,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-0.00836916359424578
CBC_P030,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.289092150160908
CBC_P031,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-1.28781572091178
CBC_P034,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.255898748386666
CBC_P035,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-0.0776281168139032
CBC_P036,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.15678322377642
CBC_P037,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-0.817889464231698
CBC_P038,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-0.0569510005885396
CBC_P039,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.038139364543282
CBC_P040,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,0.169649436999503
CBC_P041,novelty,Novelty_uniform_-32_-58_45_roi.mat,TV,left,superior parietal lobe,4,-0.385245656886218
