ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.430517083811431
CBC_1002,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.489238474536977
CBC_1003,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.483694627964593
CBC_1005,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.296679492666738
CBC_1006,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.431297081965901
CBC_1007,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.653725729437853
CBC_1013,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.367994797183552
CBC_1014,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.3360897650357
CBC_1015,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.444681519367526
CBC_1016,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.0495951526717212
CBC_1017,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.138847577599283
CBC_1019,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.323212784968869
CBC_1020,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.0535723652855624
CBC_1024,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.593199109770725
CBC_1027,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.430203813433724
CBC_1029,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.409402426569237
CBC_1032,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.760924008514796
CBC_1033,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.175474145694682
CBC_1036,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.212054145067095
CBC_1037,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.258052382691178
CBC_1039,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.695375438302109
CBC_1040,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.468935903277233
CBC_1046,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.652881532043152
CBC_1047,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.265048117132865
CBC_1049,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.947756985148287
CBC_1051,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.424658956277213
CBC_1055,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,-0.170123481040139
CBC_1056,novelty,Novelty_uniform_-32_-58_45_roi.mat,AV,left,superior parietal lobe,4,0.0768515861560312
