ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.587174409355418
CBC_P005,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.372306882111438
CBC_P006,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.141858578017668
CBC_P007,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.482486002336556
CBC_P009,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.00718682088302536
CBC_P010,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.264031437006682
CBC_P013,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.947059308999503
CBC_P014,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.325559860758567
CBC_P015,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.0571151738583757
CBC_P016,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.494491748285482
CBC_P017,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.650593350959852
CBC_P018,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.0429259136764542
CBC_P019,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.579275258601865
CBC_P020,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.185528074957913
CBC_P022,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.451753088494262
CBC_P026,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-1.01699051172643
CBC_P027,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.773112669572235
CBC_P029,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.225106409829901
CBC_P030,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.163121829133944
CBC_P031,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.0556998714983428
CBC_P034,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.12284745242247
CBC_P035,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.0312243801035081
CBC_P036,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.441177468927671
CBC_P037,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.194401266042946
