ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.206547996047514
CBC_1002,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.340174732183382
CBC_1003,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.391376714804258
CBC_1005,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.0740669401792913
CBC_1006,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.185093016361184
CBC_1007,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.215172565794065
CBC_1013,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.3753987042033
CBC_1014,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.0915567030367153
CBC_1015,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.449272137672655
CBC_1016,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.097530313798508
CBC_1017,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.173781412385656
CBC_1019,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.131264243794907
CBC_1020,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.263656915936335
CBC_1024,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.250049256074262
CBC_1027,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.37048241754133
CBC_1029,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.032512899955949
CBC_1032,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.219798205720212
CBC_1033,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.470045806608956
CBC_1036,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.215863988414237
CBC_1037,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.0945202372717862
CBC_1039,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.801542021947778
CBC_1040,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.126355551342089
CBC_1046,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.0170176955419616
CBC_1047,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.34917138288701
CBC_1049,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.0258748193357238
CBC_1051,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.470387328049078
CBC_1055,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,1.20282085692412
CBC_1056,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.491623896780365
CBC_1057,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.479180112710887
CBC_1058,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.145020158500629
CBC_1062,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.138389544245739
CBC_1063,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.360940501309394
CBC_1065,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-1.00978630019333
CBC_1069,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.580109273250263
CBC_1072,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.375721282202498
CBC_1074,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.264199652627656
CBC_1075,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.300997505382085
CBC_1077,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.338524351695856
CBC_1080,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.324474981607176
CBC_1083,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.162739891341582
CBC_1084,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.421416939076654
CBC_1086,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.210045556339348
CBC_1095,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.346167084503179
CBC_1098,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.615330013699959
CBC_1101,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.413953931396137
CBC_1102,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.580307472250935
CBC_1104,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.640023477117346
CBC_1105,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.831486425204886
CBC_1106,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.43784743411432
CBC_1107,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.267137049683044
CBC_1109,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.0332025642679221
CBC_1116,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.226042373357464
CBC_1133,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.585083202717928
CBC_1142,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.348955857558042
CBC_1143,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.740350051387275
CBC_1144,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,-0.00851733852936992
CBC_1149,novelty,Novelty_uniform_-33_23_-1_roi.mat,AV,left,anterior insula,5,0.450994657005772
CBC_1001,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,0.345774029836995
CBC_1002,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,-0.0275022591903498
CBC_1003,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,0.196190555678091
CBC_1005,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,0.312897081676065
CBC_1006,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,-0.0609148797436807
CBC_1007,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,0.00752991545915371
CBC_1013,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,0.0137552529021821
CBC_1014,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,-0.598785909758589
CBC_1015,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,-0.11225815288633
CBC_1016,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,-0.180144601047855
CBC_1017,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,0.125732196784094
CBC_1019,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,-0.210342306582684
CBC_1020,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,-0.293769117339256
CBC_1024,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,0.39135974866868
CBC_1027,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,-0.40902404547634
CBC_1029,novelty,Novelty_uniform_-33_23_-1_roi.mat,TV,left,anterior insula,5,0.184428956328196
