ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.548440396378038
CBC_P005,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.319557863215226
CBC_P006,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.134521425961084
CBC_P007,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.261457821471991
CBC_P009,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.0115568650102487
CBC_P010,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.31267161944967
CBC_P013,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.467980819554249
CBC_P014,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.168684868664959
CBC_P015,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.85514431557019
CBC_P016,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.667049909581932
CBC_P017,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.0137192454927535
CBC_P018,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.373817782683941
CBC_P019,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.549907002779331
CBC_P020,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.539167923134699
CBC_P022,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.834559405861004
CBC_P026,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.516490865535586
CBC_P027,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.769200240213429
CBC_P029,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-1.01857375121272
CBC_P030,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.0596444796759708
CBC_P031,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.634338824413268
