ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.353294714130195
CBC_1002,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.209181278201729
CBC_1003,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.591807547788476
CBC_1005,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.115539499672065
CBC_1006,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.000353504154601038
CBC_1007,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.139731326252683
CBC_1013,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.150432854378323
CBC_1014,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.0339830078174576
CBC_1015,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,1.04967646957974
CBC_1016,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.198402458290911
CBC_1017,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.35972581184214
CBC_1019,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.151685593604413
CBC_1020,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.0534450596565348
CBC_1024,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.153045954172514
CBC_1027,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.411131129716255
CBC_1029,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.201618696858932
CBC_1032,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.0284649680714805
CBC_1033,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.433309339419781
CBC_1036,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.307760248010053
CBC_1037,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.426828005947653
CBC_1039,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.159491110930838
CBC_1040,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.150886277861176
CBC_1046,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.767387147500209
CBC_1047,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.151010014678323
CBC_1049,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.179758081356009
CBC_1051,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.402316424998848
CBC_1055,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,1.57840672519051
CBC_1056,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.153167013083339
CBC_1057,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.35642266414642
CBC_1058,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.172884695575564
CBC_1062,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.0512061253593257
CBC_1063,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.161078566741763
CBC_1065,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.131056824456065
CBC_1069,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.203576561790131
CBC_1072,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.0868100225452864
CBC_1074,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-1.37848316544663
CBC_1075,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.383916560022664
CBC_1077,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.20033334883657
CBC_1080,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.230107973202831
CBC_1083,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.771585518726278
CBC_1084,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.0121396985528709
CBC_1086,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.687368583458522
CBC_1095,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.703113901895216
CBC_1098,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.598568116798369
CBC_1101,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-1.33731392454688
CBC_1102,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,1.20902371473101
CBC_1104,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,1.24484470326364
CBC_1105,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.529735601575635
CBC_1106,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.500625092096184
CBC_1107,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.813836893467176
CBC_1109,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.158252943083855
CBC_1116,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.612700394944051
CBC_1133,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.132960155616172
CBC_1142,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.465076161676337
CBC_1143,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.319883292445771
CBC_1144,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,-0.0443614835806878
CBC_1149,novelty,Novelty_uniform_-45_-28_49_roi.mat,AV,left,postcentral gyrus,6,0.32648983849691
CBC_1001,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.174079875570176
CBC_1002,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.0572381215060078
CBC_1003,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.0606989263855411
CBC_1005,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.0901227043115913
CBC_1006,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.595124545064271
CBC_1007,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.19861619925992
CBC_1013,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.430680145388727
CBC_1014,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.268077600673388
CBC_1015,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.379402207798405
CBC_1016,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,1.27626484190854
CBC_1017,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.354118057645321
CBC_1019,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.220206846309119
CBC_1020,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.27756704210042
CBC_1024,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.187017003738874
CBC_1027,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.106544885513076
CBC_1029,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.469490454054697
CBC_1032,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.136766116676949
CBC_1033,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.125476643692861
CBC_1036,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.237920413998205
CBC_1037,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.302728146307953
CBC_1039,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.181623592039736
CBC_1040,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,0.311829849530521
CBC_1046,novelty,Novelty_uniform_-45_-28_49_roi.mat,TV,left,postcentral gyrus,6,-0.724634364570194
