ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,1.43711895777756
CBC_P005,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.275529674640825
CBC_P006,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.687806062825907
CBC_P007,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.06909670010165
CBC_P009,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.0169634798077588
CBC_P010,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.526218507548118
CBC_P013,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.276421899149471
CBC_P014,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.753921842800153
CBC_P015,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,1.2366445750228
CBC_P016,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.432172649324125
CBC_P017,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.746334064441757
CBC_P018,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.623042507220222
CBC_P019,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,-0.708613442588676
CBC_P020,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.706493312310694
CBC_P022,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,0.846480603521698
CBC_P026,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,-0.616622098657047
CBC_P027,novelty,Novelty_uniform_-45_11_28_roi.mat,AV,left,middle frontal gyrus,7,-0.517779888626257
