ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.0765444216473371
CBC_P005,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.134542291272634
CBC_P006,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.137223065306108
CBC_P007,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.646946487757625
CBC_P009,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.437989844470759
CBC_P010,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.325430726335481
CBC_P013,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.141743475081574
CBC_P014,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.0428933518933109
CBC_P015,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.321267905241082
CBC_P016,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.51544437205645
CBC_P017,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.216444426030654
CBC_P018,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.102237292483962
CBC_P019,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.327101083814605
CBC_P020,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.157952364022955
CBC_P022,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.167150275421045
CBC_P026,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.684284766212067
CBC_P027,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-1.0969789757344
CBC_P029,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.271935705126669
CBC_P030,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.00550688773616196
CBC_P031,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.846973726098825
CBC_P034,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.198568185896471
CBC_P035,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.0791414881414154
CBC_P036,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.506774380864534
CBC_P037,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.0961351626183923
CBC_P038,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.447946183630541
CBC_P039,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.00759477715492274
CBC_P040,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.299155631210625
CBC_P041,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.587776284725601
CBC_P004,novelty,Novelty_uniform_-46_-57_-15_roi.mat,TV,left,inferior temporal gyrus,8,0.246826930763794
CBC_P005,novelty,Novelty_uniform_-46_-57_-15_roi.mat,TV,left,inferior temporal gyrus,8,0.128407792563018
CBC_P006,novelty,Novelty_uniform_-46_-57_-15_roi.mat,TV,left,inferior temporal gyrus,8,0.780013266955404
CBC_P007,novelty,Novelty_uniform_-46_-57_-15_roi.mat,TV,left,inferior temporal gyrus,8,0.691503979238368
CBC_P009,novelty,Novelty_uniform_-46_-57_-15_roi.mat,TV,left,inferior temporal gyrus,8,0.311651567258856
CBC_P010,novelty,Novelty_uniform_-46_-57_-15_roi.mat,TV,left,inferior temporal gyrus,8,0.038573451274944
CBC_P013,novelty,Novelty_uniform_-46_-57_-15_roi.mat,TV,left,inferior temporal gyrus,8,-0.0731238899357463
CBC_P014,novelty,Novelty_uniform_-46_-57_-15_roi.mat,TV,left,inferior temporal gyrus,8,-0.345723023291868
