ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.211654110132929
CBC_1002,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.805405954236684
CBC_1003,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.460394769834656
CBC_1005,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.0942065249538396
CBC_1006,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.178721543657253
CBC_1007,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.449083836570015
CBC_1013,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.249186247468571
CBC_1014,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.540032241593742
CBC_1015,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.109523385509536
CBC_1016,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.392917429450501
CBC_1017,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.47507310434308
CBC_1019,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.473681129592769
CBC_1020,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.0555689653279198
CBC_1024,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.65648705376388
CBC_1027,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.197288854140796
CBC_1029,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.399609383367149
CBC_1032,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.186293025190461
CBC_1033,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.0786597025881587
CBC_1036,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.490101258363128
CBC_1037,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.38399643276007
CBC_1039,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.791021477007081
CBC_1040,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.20524116466477
CBC_1046,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.403703399509774
CBC_1047,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.00708344132088101
CBC_1049,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.278309875830638
CBC_1051,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.0808751985607238
CBC_1055,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.464149875073155
CBC_1056,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.540685867498213
CBC_1057,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.00226499090143283
CBC_1058,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.201224874642389
CBC_1062,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.708326574802654
CBC_1063,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.478717813788656
CBC_1065,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.346311774741688
CBC_1069,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.588379179532836
CBC_1072,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.448857408191735
CBC_1074,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.0113347300753822
CBC_1075,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.692058524313064
CBC_1077,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.0120636526168352
CBC_1080,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.299914764287567
CBC_1083,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.0446429518437921
CBC_1084,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.60321308072228
CBC_1086,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.444044323760544
CBC_1095,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,-0.290040247829304
CBC_1098,novelty,Novelty_uniform_-46_-57_-15_roi.mat,AV,left,inferior temporal gyrus,8,0.798959863538629
