ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.382045073476498
CBC_P005,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.0684751194980612
CBC_P006,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0481278141875528
CBC_P007,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.430133175140276
CBC_P009,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.287710695245006
CBC_P010,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.549298470089459
CBC_P013,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.095296525129231
CBC_P014,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0447956623576932
CBC_P015,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.208482644768609
CBC_P016,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.331718362413356
CBC_P017,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.175201009780564
CBC_P018,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.128703316237183
CBC_P019,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.16154151160852
CBC_P020,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.339644925654245
CBC_P022,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.402356605567141
CBC_P026,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.230755193581395
CBC_P027,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.385242086759911
CBC_P029,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.191851579063294
CBC_P030,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.181107183359013
CBC_P031,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.208727902210398
CBC_P034,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.021206012888142
CBC_P035,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.046076014019676
CBC_P036,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.299222430044324
CBC_P037,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.226878315150971
CBC_P038,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.0976900854249531
CBC_P039,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.297178818500376
CBC_P040,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0493037315719739
CBC_P041,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.812034847319488
CBC_P004,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.715171219448001
CBC_P005,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.179030192591889
CBC_P006,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.65647424171803
CBC_P007,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.165222277832108
CBC_P009,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.816836689433003
CBC_P010,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.266302244070379
CBC_P013,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.474618972508519
CBC_P014,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.605123126056539
CBC_P015,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.0913532870095786
CBC_P016,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.300562324199978
CBC_P017,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.140762149142662
CBC_P018,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.431266457167923
CBC_P019,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.581484989535789
CBC_P020,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.125523852019108
CBC_P022,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.604698404935073
CBC_P026,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.337086401971721
CBC_P027,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.171728113470247
CBC_P029,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.07452177237146
CBC_P030,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.0127865514642771
CBC_P031,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.00443259354066683
CBC_P034,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.302591528804046
CBC_P035,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.000857484935121722
CBC_P036,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.116868230062682
CBC_P037,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.104774520108245
CBC_P038,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.260072198972342
CBC_P039,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.323521128394159
CBC_P040,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.236387124142228
CBC_P041,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.764861921472304
