ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.171165951025274
CBC_1002,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0434937945297207
CBC_1003,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,1.14932890035231
CBC_1005,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.332155727595933
CBC_1006,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.254113786934278
CBC_1007,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.188066888241328
CBC_1013,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.417014630293805
CBC_1014,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.73098452832096
CBC_1015,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.412211654509514
CBC_1016,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.719610947728551
CBC_1017,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.696028060602175
CBC_1019,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.282955380464378
CBC_1020,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.337127980017198
CBC_1024,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.870425215911105
CBC_1027,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0709885240539251
CBC_1029,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.404499523524007
CBC_1032,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.0410498550125469
CBC_1033,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.104799482226733
CBC_1036,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.179935047634768
CBC_1037,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.0111687007167366
CBC_1039,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.140505189235109
CBC_1040,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.1070868207834
CBC_1046,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.0425712958209279
CBC_1047,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.301634430501531
CBC_1049,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0743958656769055
CBC_1051,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0895759435670106
CBC_1055,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.412892174672601
CBC_1056,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.319810962586555
CBC_1057,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.15401819601533
CBC_1058,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.00199911204969352
CBC_1062,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.408309497901964
CBC_1063,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,1.15859234490342
CBC_1065,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0481272666938377
CBC_1069,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.479959666047739
CBC_1072,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.610479258554217
CBC_1074,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.677803856487286
CBC_1075,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.251657438302373
CBC_1077,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.128668971202682
CBC_1080,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.250275486412782
CBC_1083,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.0234786139768955
CBC_1084,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.0632014792850816
CBC_1086,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.360694952076288
CBC_1095,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.527735397781349
CBC_1098,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.420607116449841
CBC_1101,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-1.96864112116006
CBC_1102,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.745331674865413
CBC_1104,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-1.23101183013618
CBC_1105,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,1.0150936731046
CBC_1106,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.526845406658734
CBC_1107,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.341054944680963
CBC_1109,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.507869653526992
CBC_1116,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.881798208787799
CBC_1133,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.575122869496282
CBC_1142,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-1.30528969002964
CBC_1143,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,0.711889042231722
CBC_1144,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,-0.672400437758269
CBC_1149,novelty,Novelty_uniform_-47_-72_-6_roi.mat,AV,left,inferior occipital gyrus,9,1.80212976598001
CBC_1001,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.0345421788766396
CBC_1002,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.138255307765535
CBC_1003,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.639413289606149
CBC_1005,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.0733273984361631
CBC_1006,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.357306566980865
CBC_1007,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.061954311564111
CBC_1013,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-1.27111203767125
CBC_1014,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.0538074260549298
CBC_1015,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.622606779949594
CBC_1016,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.0267851419573092
CBC_1017,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.276593380322732
CBC_1019,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.00245199422805353
CBC_1020,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.440179426394908
CBC_1024,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.671974660834961
CBC_1027,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.152175978693672
CBC_1029,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.22738336809038
CBC_1032,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.24571566097351
CBC_1033,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.0915929715919153
CBC_1036,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.0838538419143351
CBC_1037,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.0480497837684542
CBC_1039,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.618204603066896
CBC_1040,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.462305458842675
CBC_1046,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.043563180228416
CBC_1047,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.229604722610175
CBC_1049,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.626401545257522
CBC_1051,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.0757572047694737
CBC_1055,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.511633611288569
CBC_1056,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.143181216936905
CBC_1057,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,0.310796552589428
CBC_1058,novelty,Novelty_uniform_-47_-72_-6_roi.mat,TV,left,inferior occipital gyrus,9,-0.37313856743829
