ID,mask,task,hemisphere,beta
CBC_P004,novelty,AV,wholeBrain,0.264022239626224
CBC_P005,novelty,AV,wholeBrain,0.089900018600376
CBC_P006,novelty,AV,wholeBrain,-0.0617924787360086
CBC_P007,novelty,AV,wholeBrain,0.0549717406697441
CBC_P009,novelty,AV,wholeBrain,-0.0291806296302048
CBC_P010,novelty,AV,wholeBrain,-0.0377953907976601
CBC_P013,novelty,AV,wholeBrain,-0.242693582965763
CBC_P014,novelty,AV,wholeBrain,0.190378101566763
CBC_P015,novelty,AV,wholeBrain,0.207826170019584
CBC_P016,novelty,AV,wholeBrain,0.142813663927745
CBC_P017,novelty,AV,wholeBrain,0.280572994066385
CBC_P018,novelty,AV,wholeBrain,-0.0725103421588672
CBC_P019,novelty,AV,wholeBrain,-0.270310175686829
CBC_P020,novelty,AV,wholeBrain,-0.052163650293621
CBC_P022,novelty,AV,wholeBrain,0.242824475082011
CBC_P026,novelty,AV,wholeBrain,-0.50105042336376
CBC_P027,novelty,AV,wholeBrain,-0.417583126798743
CBC_P029,novelty,AV,wholeBrain,-0.258019167038966
CBC_P030,novelty,AV,wholeBrain,0.127242328694958
CBC_P031,novelty,AV,wholeBrain,0.0913670485848456
CBC_P034,novelty,AV,wholeBrain,-0.0563478717081744
CBC_P035,novelty,AV,wholeBrain,0.124897664755738
CBC_P036,novelty,AV,wholeBrain,0.17716558779133
CBC_P037,novelty,AV,wholeBrain,0.173587332627313
CBC_P038,novelty,AV,wholeBrain,-0.299182935157768
CBC_P039,novelty,AV,wholeBrain,0.289445512271648
CBC_P040,novelty,AV,wholeBrain,-0.193171607046339
CBC_P041,novelty,AV,wholeBrain,0.076270240016633
CBC_P004,novelty,TV,wholeBrain,0.0104370909626397
CBC_P005,novelty,TV,wholeBrain,-0.0409998691717126
CBC_P006,novelty,TV,wholeBrain,0.0966761030797052
CBC_P007,novelty,TV,wholeBrain,-0.06108449172695
CBC_P009,novelty,TV,wholeBrain,0.0790739533594067
CBC_P010,novelty,TV,wholeBrain,0.174634812207033
CBC_P013,novelty,TV,wholeBrain,-0.040080073781902
CBC_P014,novelty,TV,wholeBrain,-0.0104386896117421
CBC_P015,novelty,TV,wholeBrain,0.0373860972519395
CBC_P016,novelty,TV,wholeBrain,-0.0451976678935271
CBC_P017,novelty,TV,wholeBrain,-0.205125768637296
CBC_P018,novelty,TV,wholeBrain,0.122875925131085
CBC_P019,novelty,TV,wholeBrain,0.435642703274491
CBC_P020,novelty,TV,wholeBrain,0.0879229387557774
CBC_P022,novelty,TV,wholeBrain,-0.138990983224268
CBC_P026,novelty,TV,wholeBrain,0.0617395421444638
CBC_P027,novelty,TV,wholeBrain,-0.16850265944291
CBC_P029,novelty,TV,wholeBrain,0.0297111891860098
CBC_P030,novelty,TV,wholeBrain,0.0319998986176699
CBC_P031,novelty,TV,wholeBrain,0.0823459907644164
CBC_P034,novelty,TV,wholeBrain,-0.0866451887635439
CBC_P035,novelty,TV,wholeBrain,-0.0814516944828494
CBC_P036,novelty,TV,wholeBrain,0.00201749710836463
CBC_P037,novelty,TV,wholeBrain,-0.151899272282845
CBC_P038,novelty,TV,wholeBrain,0.00723556710372097
CBC_P039,novelty,TV,wholeBrain,0.165941275372649
CBC_P040,novelty,TV,wholeBrain,-0.141360786226603
CBC_P041,novelty,TV,wholeBrain,-0.0568370332829637
