ID,mask,task,hemisphere,beta
CBC_1001,novelty,AV,wholeBrain,-0.0538366408305421
CBC_1002,novelty,AV,wholeBrain,0.15997875289066
CBC_1003,novelty,AV,wholeBrain,0.102871598074496
CBC_1005,novelty,AV,wholeBrain,0.0818332782582988
CBC_1006,novelty,AV,wholeBrain,0.173875733851531
CBC_1007,novelty,AV,wholeBrain,0.0689796753194685
CBC_1013,novelty,AV,wholeBrain,-0.147229711413401
CBC_1014,novelty,AV,wholeBrain,0.0974885546099394
CBC_1015,novelty,AV,wholeBrain,-0.129583989989349
CBC_1016,novelty,AV,wholeBrain,-0.0752342336501185
CBC_1017,novelty,AV,wholeBrain,0.447481653983044
CBC_1019,novelty,AV,wholeBrain,-0.0466147759465954
CBC_1020,novelty,AV,wholeBrain,-0.0528047519498831
CBC_1024,novelty,AV,wholeBrain,-0.073392193429862
CBC_1027,novelty,AV,wholeBrain,-0.102982722837343
CBC_1029,novelty,AV,wholeBrain,0.0593794609280637
CBC_1032,novelty,AV,wholeBrain,0.0128010923981523
CBC_1033,novelty,AV,wholeBrain,0.0787281245032622
CBC_1036,novelty,AV,wholeBrain,-0.0197188156614099
CBC_1037,novelty,AV,wholeBrain,-0.0404058978888869
CBC_1039,novelty,AV,wholeBrain,-0.144522019139894
CBC_1040,novelty,AV,wholeBrain,-0.0942955032209101
CBC_1046,novelty,AV,wholeBrain,0.106134648757244
CBC_1047,novelty,AV,wholeBrain,0.0176983329317495
CBC_1049,novelty,AV,wholeBrain,-0.24929192469419
CBC_1051,novelty,AV,wholeBrain,-0.175382146828843
CBC_1055,novelty,AV,wholeBrain,0.423369181376652
CBC_1056,novelty,AV,wholeBrain,-0.0908026712970579
CBC_1057,novelty,AV,wholeBrain,0.160051037920108
CBC_1058,novelty,AV,wholeBrain,0.0132911472920434
CBC_1062,novelty,AV,wholeBrain,0.356755605082533
CBC_1063,novelty,AV,wholeBrain,0.0646025152772128
CBC_1065,novelty,AV,wholeBrain,-0.366980792812415
CBC_1069,novelty,AV,wholeBrain,0.286468189721508
CBC_1072,novelty,AV,wholeBrain,0.0451685082366071
CBC_1074,novelty,AV,wholeBrain,0.20564260433931
CBC_1075,novelty,AV,wholeBrain,0.0689636882923186
CBC_1077,novelty,AV,wholeBrain,-0.197267548904289
CBC_1080,novelty,AV,wholeBrain,-0.0138784283039052
CBC_1083,novelty,AV,wholeBrain,0.13045745075487
CBC_1084,novelty,AV,wholeBrain,-0.044915193481803
CBC_1086,novelty,AV,wholeBrain,0.0335835854914398
CBC_1095,novelty,AV,wholeBrain,-0.162655613992027
CBC_1098,novelty,AV,wholeBrain,0.0501070891478211
CBC_1101,novelty,AV,wholeBrain,0.101556085796297
CBC_1102,novelty,AV,wholeBrain,0.107320967353304
CBC_1104,novelty,AV,wholeBrain,0.251131041139367
CBC_1105,novelty,AV,wholeBrain,-0.350690925054842
CBC_1106,novelty,AV,wholeBrain,0.0149522300873368
