ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.14200125999494
CBC_P005,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.166653786343443
CBC_P006,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.000213343043057233
CBC_P007,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.686862814352623
CBC_P009,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.519888270354065
CBC_P010,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.328013548354825
CBC_P013,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.551349447470197
CBC_P014,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.0672255533044402
CBC_P015,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,1.15379354628369
CBC_P016,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.312945723025403
CBC_P017,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.112623294866241
CBC_P018,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.466329078016995
CBC_P019,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.195431703577222
CBC_P020,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.32054433576069
CBC_P022,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.653737525027423
CBC_P026,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.226219984137442
CBC_P027,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.448268194494462
CBC_P029,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.342046616269584
